# Al photoionisation cross section
# Alan Heays 2016-12-08
# Reference: mendoza1996
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  13.9000000       3.78068e-21       3.78068e-21
  14.0000000       3.84193e-21       3.84193e-21
  14.1000000       3.92404e-21       3.92404e-21
  14.2000000       4.00887e-21       4.00887e-21
  14.3000000       4.09416e-21       4.09416e-21
  14.4000000       4.18018e-21       4.18018e-21
  14.5000000       4.26874e-21       4.26874e-21
  14.6000000       4.35753e-21       4.35753e-21
  14.7000000       4.44721e-21       4.44721e-21
  14.8000000       4.53917e-21       4.53917e-21
  14.9000000       4.63125e-21       4.63125e-21
  15.0000000       4.72457e-21       4.72457e-21
  15.1000000       4.82069e-21       4.82069e-21
  15.2000000       4.91692e-21       4.91692e-21
  15.3000000       5.01416e-21       5.01416e-21
  15.4000000       5.11386e-21       5.11386e-21
  15.5000000       5.21366e-21       5.21366e-21
  15.6000000       5.31444e-21       5.31444e-21
  15.7000000       5.41839e-21       5.41839e-21
  15.8000000       5.52258e-21       5.52258e-21
  15.9000000       5.62733e-21       5.62733e-21
  16.0000000       5.73519e-21       5.73519e-21
  16.1000000       5.84353e-21       5.84353e-21
  16.2000000       5.95207e-21       5.95207e-21
  16.3000000       6.06367e-21       6.06367e-21
  16.4000000       6.17631e-21       6.17631e-21
  16.5000000       6.28895e-21       6.28895e-21
  16.6000000       6.40403e-21       6.40403e-21
  16.7000000       6.52129e-21       6.52129e-21
  16.8000000       6.63855e-21       6.63855e-21
  16.9000000       6.75699e-21       6.75699e-21
  17.0000000       6.87903e-21       6.87903e-21
  17.1000000       7.00132e-21       7.00132e-21
  17.2000000       7.12379e-21       7.12379e-21
  17.3000000       7.24959e-21       7.24959e-21
  17.4000000       7.37664e-21       7.37664e-21
  17.5000000       7.50369e-21       7.50369e-21
  17.6000000       7.63234e-21       7.63234e-21
  17.7000000       7.76435e-21       7.76435e-21
  17.8000000       7.89646e-21       7.89646e-21
  17.9000000       8.02875e-21       8.02875e-21
  18.0000000       8.16494e-21       8.16494e-21
  18.1000000       8.30275e-21       8.30275e-21
  18.2000000       8.44056e-21       8.44056e-21
  18.3000000       8.57942e-21       8.57942e-21
  18.4000000       8.72225e-21       8.72225e-21
  18.5000000       8.86545e-21       8.86545e-21
  18.6000000       9.00866e-21       9.00866e-21
  18.7000000       9.15443e-21       9.15443e-21
  18.8000000       9.30353e-21       9.30353e-21
  18.9000000       9.45264e-21       9.45264e-21
  19.0000000       9.60183e-21       9.60183e-21
  19.1000000       9.75511e-21       9.75511e-21
  19.2000000       9.91064e-21       9.91064e-21
  19.3000000       1.00662e-20       1.00662e-20
  19.4000000       1.02220e-20       1.02220e-20
  19.5000000       1.03814e-20       1.03814e-20
  19.6000000       1.05420e-20       1.05420e-20
  19.7000000       1.07025e-20       1.07025e-20
  19.8000000       1.08639e-20       1.08639e-20
  19.9000000       1.10321e-20       1.10321e-20
  20.0000000       1.12020e-20       1.12020e-20
  20.1000000       1.13719e-20       1.13719e-20
  20.2000000       1.15421e-20       1.15421e-20
  20.3000000       1.17153e-20       1.17153e-20
  20.4000000       1.18892e-20       1.18892e-20
  20.5000000       1.20631e-20       1.20631e-20
  20.6000000       1.22374e-20       1.22374e-20
  20.7000000       1.24178e-20       1.24178e-20
  20.8000000       1.26003e-20       1.26003e-20
  20.9000000       1.27827e-20       1.27827e-20
  21.0000000       1.29653e-20       1.29653e-20
  21.1000000       1.31514e-20       1.31514e-20
  21.2000000       1.33397e-20       1.33397e-20
  21.3000000       1.35280e-20       1.35280e-20
  21.4000000       1.37163e-20       1.37163e-20
