# Ca photoionisation cross section
# Alan Heays 2016-02-03
# Reference: yih1998, carter1971, TOPbase database
# photoionisation: Photoionisation cross section (cm2)
# Ca+: Ca + hnu -> Ca+ + e- cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  18.7000000       1.16015e-20       1.16015e-20
  18.8000000       1.17412e-20       1.17412e-20
  18.9000000       1.19275e-20       1.19275e-20
  19.0000000       1.21163e-20       1.21163e-20
  19.1000000       1.23116e-20       1.23116e-20
  19.2000000       1.25072e-20       1.25072e-20
  19.3000000       1.27028e-20       1.27028e-20
  19.4000000       1.29010e-20       1.29010e-20
  19.5000000       1.31030e-20       1.31030e-20
  19.6000000       1.33050e-20       1.33050e-20
  19.7000000       1.35070e-20       1.35070e-20
  19.8000000       1.37132e-20       1.37132e-20
  19.9000000       1.39237e-20       1.39237e-20
  20.0000000       1.41342e-20       1.41342e-20
  20.1000000       1.43447e-20       1.43447e-20
  20.2000000       1.45606e-20       1.45606e-20
  20.3000000       1.47817e-20       1.47817e-20
  20.4000000       1.50028e-20       1.50028e-20
  20.5000000       1.52240e-20       1.52240e-20
  20.6000000       1.54484e-20       1.54484e-20
  20.7000000       1.56771e-20       1.56771e-20
  20.8000000       1.59059e-20       1.59059e-20
  20.9000000       1.61346e-20       1.61346e-20
  21.0000000       1.63656e-20       1.63656e-20
  21.1000000       1.66014e-20       1.66014e-20
  21.2000000       1.68374e-20       1.68374e-20
  21.3000000       1.70734e-20       1.70734e-20
  21.4000000       1.73111e-20       1.73111e-20
  21.5000000       1.75575e-20       1.75575e-20
  21.6000000       1.78050e-20       1.78050e-20
  21.7000000       1.80526e-20       1.80526e-20
  21.8000000       1.83004e-20       1.83004e-20
  21.9000000       1.85556e-20       1.85556e-20
  22.0000000       1.88142e-20       1.88142e-20
  22.1000000       1.90728e-20       1.90728e-20
  22.2000000       1.93313e-20       1.93313e-20
  22.3000000       1.95933e-20       1.95933e-20
  22.4000000       1.98621e-20       1.98621e-20
  22.5000000       2.01310e-20       2.01310e-20
  22.6000000       2.04000e-20       2.04000e-20
  22.7000000       2.06694e-20       2.06694e-20
  22.8000000       2.09459e-20       2.09459e-20
  22.9000000       2.12247e-20       2.12247e-20
  23.0000000       2.15036e-20       2.15036e-20
  23.1000000       2.17825e-20       2.17825e-20
  23.2000000       2.20644e-20       2.20644e-20
  23.3000000       2.23544e-20       2.23544e-20
  23.4000000       2.26449e-20       2.26449e-20
  23.5000000       2.29353e-20       2.29353e-20
  23.6000000       2.32258e-20       2.32258e-20
  23.7000000       2.35222e-20       2.35222e-20
  23.8000000       2.38236e-20       2.38236e-20
  23.9000000       2.41251e-20       2.41251e-20
  24.0000000       2.44265e-20       2.44265e-20
  24.1000000       2.47284e-20       2.47284e-20
  24.2000000       2.50389e-20       2.50389e-20
  24.3000000       2.53529e-20       2.53529e-20
  24.4000000       2.56669e-20       2.56669e-20
  24.5000000       2.59809e-20       2.59809e-20
  24.6000000       2.62959e-20       2.62959e-20
  24.7000000       2.66211e-20       2.66211e-20
  24.8000000       2.69490e-20       2.69490e-20
  24.9000000       2.72768e-20       2.72768e-20
  25.0000000       2.76046e-20       2.76046e-20
  25.1000000       2.79336e-20       2.79336e-20
  25.2000000       2.82724e-20       2.82724e-20
  25.3000000       2.86135e-20       2.86135e-20
  25.4000000       2.89546e-20       2.89546e-20
  25.5000000       2.92957e-20       2.92957e-20
  25.6000000       2.96376e-20       2.96376e-20
  25.7000000       2.99901e-20       2.99901e-20
  25.8000000       3.03456e-20       3.03456e-20
  25.9000000       3.07012e-20       3.07012e-20
  26.0000000       3.10568e-20       3.10568e-20
  26.1000000       3.14125e-20       3.14125e-20
  26.2000000       3.17771e-20       3.17771e-20
  26.3000000       3.21465e-20       3.21465e-20
  26.4000000       3.25159e-20       3.25159e-20
  26.5000000       3.28853e-20       3.28853e-20
  26.6000000       3.32547e-20       3.32547e-20
  26.7000000       3.36300e-20       3.36300e-20
  26.8000000       3.40142e-20       3.40142e-20
  26.9000000       3.43985e-20       3.43985e-20
  27.0000000       3.47829e-20       3.47829e-20
  27.1000000       3.51672e-20       3.51672e-20
  27.2000000       3.55536e-20       3.55536e-20
  27.3000000       3.59520e-20       3.59520e-20
  27.4000000       3.63523e-20       3.63523e-20
  27.5000000       3.67527e-20       3.67527e-20
  27.6000000       3.71531e-20       3.71531e-20
  27.7000000       3.75534e-20       3.75534e-20
  27.8000000       3.79616e-20       3.79616e-20
  27.9000000       3.83773e-20       3.83773e-20
  28.0000000       3.87930e-20       3.87930e-20
  28.1000000       3.92087e-20       3.92087e-20
  28.2000000       3.96244e-20       3.96244e-20
  28.3000000       4.00416e-20       4.00416e-20
  28.4000000       4.04720e-20       4.04720e-20
  28.5000000       4.09057e-20       4.09057e-20
  28.6000000       4.13393e-20       4.13393e-20
  28.7000000       4.17729e-20       4.17729e-20
  28.8000000       4.22066e-20       4.22066e-20
  28.9000000       4.26442e-20       4.26442e-20
  29.0000000       4.30941e-20       4.30941e-20
  29.1000000       4.35448e-20       4.35448e-20
  29.2000000       4.39956e-20       4.39956e-20
  29.3000000       4.44463e-20       4.44463e-20
  29.4000000       4.48970e-20       4.48970e-20
  29.5000000       4.53543e-20       4.53543e-20
  29.6000000       4.58228e-20       4.58228e-20
  29.7000000       4.62916e-20       4.62916e-20
  29.8000000       4.67603e-20       4.67603e-20
  29.9000000       4.72291e-20       4.72291e-20
  30.0000000       4.76978e-20       4.76978e-20
  30.1000000       4.81748e-20       4.81748e-20
  30.2000000       4.86638e-20       4.86638e-20
  30.3000000       4.91529e-20       4.91529e-20
  30.4000000       4.96421e-20       4.96421e-20
  30.5000000       5.01312e-20       5.01312e-20
  30.6000000       5.06203e-20       5.06203e-20
  30.7000000       5.11160e-20       5.11160e-20
  30.8000000       5.16241e-20       5.16241e-20
  30.9000000       5.21325e-20       5.21325e-20
  31.0000000       5.26409e-20       5.26409e-20
  31.1000000       5.31493e-20       5.31493e-20
  31.2000000       5.36577e-20       5.36577e-20
  31.3000000       5.41704e-20       5.41704e-20
  31.4000000       5.46990e-20       5.46990e-20
  31.5000000       5.52290e-20       5.52290e-20
  31.6000000       5.57591e-20       5.57591e-20
  31.7000000       5.62892e-20       5.62892e-20
  31.8000000       5.68192e-20       5.68192e-20
  31.9000000       5.73503e-20       5.73503e-20
  32.0000000       5.78960e-20       5.78960e-20
  32.1000000       5.84465e-20       5.84465e-20
  32.2000000       5.89971e-20       5.89971e-20
