# Cross sections for Cr
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photoionisation source: Cr  PHOTOIONIZATION
# Lines represented with lorentzian of width 0.0005 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photoionisation:    cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  91.3000000       7.49939e-18       7.49939e-18
  91.4000000       7.49902e-18       7.49902e-18
  91.5000000       7.49854e-18       7.49854e-18
  91.6000000       7.49805e-18       7.49805e-18
  91.7000000       7.49756e-18       7.49756e-18
  91.8000000       7.49707e-18       7.49707e-18
  91.9000000       7.49658e-18       7.49658e-18
  92.0000000       7.49610e-18       7.49610e-18
  92.1000000       7.49561e-18       7.49561e-18
  92.2000000       7.49512e-18       7.49512e-18
  92.3000000       7.49463e-18       7.49463e-18
  92.4000000       7.49414e-18       7.49414e-18
  92.5000000       7.49366e-18       7.49366e-18
  92.6000000       7.49317e-18       7.49317e-18
  92.7000000       7.49268e-18       7.49268e-18
  92.8000000       7.49219e-18       7.49219e-18
  92.9000000       7.49170e-18       7.49170e-18
  93.0000000       7.49122e-18       7.49122e-18
  93.1000000       7.49073e-18       7.49073e-18
  93.2000000       7.49024e-18       7.49024e-18
  93.3000000       7.48975e-18       7.48975e-18
  93.4000000       7.48927e-18       7.48927e-18
  93.5000000       7.48878e-18       7.48878e-18
  93.6000000       7.48829e-18       7.48829e-18
  93.7000000       7.48780e-18       7.48780e-18
  93.8000000       7.48731e-18       7.48731e-18
  93.9000000       7.48683e-18       7.48683e-18
  94.0000000       7.48634e-18       7.48634e-18
  94.1000000       7.48585e-18       7.48585e-18
  94.2000000       7.48536e-18       7.48536e-18
  94.3000000       7.48487e-18       7.48487e-18
  94.4000000       7.48439e-18       7.48439e-18
  94.5000000       7.48390e-18       7.48390e-18
  94.6000000       7.48341e-18       7.48341e-18
  94.7000000       7.48292e-18       7.48292e-18
  94.8000000       7.48243e-18       7.48243e-18
  94.9000000       7.48195e-18       7.48195e-18
  95.0000000       7.48146e-18       7.48146e-18
  95.1000000       7.48097e-18       7.48097e-18
  95.2000000       7.48048e-18       7.48048e-18
  95.3000000       7.47999e-18       7.47999e-18
  95.4000000       7.47951e-18       7.47951e-18
  95.5000000       7.47902e-18       7.47902e-18
  95.6000000       7.47853e-18       7.47853e-18
  95.7000000       7.47804e-18       7.47804e-18
  95.8000000       7.47755e-18       7.47755e-18
  95.9000000       7.47707e-18       7.47707e-18
  96.0000000       7.47658e-18       7.47658e-18
  96.1000000       7.47609e-18       7.47609e-18
  96.2000000       7.47560e-18       7.47560e-18
  96.3000000       7.47511e-18       7.47511e-18
  96.4000000       7.47463e-18       7.47463e-18
  96.5000000       7.47414e-18       7.47414e-18
  96.6000000       7.47365e-18       7.47365e-18
  96.7000000       7.47316e-18       7.47316e-18
  96.8000000       7.47267e-18       7.47267e-18
  96.9000000       7.47219e-18       7.47219e-18
  97.0000000       7.47170e-18       7.47170e-18
  97.1000000       7.47121e-18       7.47121e-18
  97.2000000       7.47072e-18       7.47072e-18
  97.3000000       7.47023e-18       7.47023e-18
  97.4000000       7.46975e-18       7.46975e-18
  97.5000000       7.46926e-18       7.46926e-18
  97.6000000       7.46877e-18       7.46877e-18
  97.7000000       7.46828e-18       7.46828e-18
  97.8000000       7.46780e-18       7.46780e-18
  97.9000000       7.46731e-18       7.46731e-18
  98.0000000       7.46682e-18       7.46682e-18
  98.1000000       7.46633e-18       7.46633e-18
  98.2000000       7.46584e-18       7.46584e-18
  98.3000000       7.46536e-18       7.46536e-18
  98.4000000       7.46487e-18       7.46487e-18
  98.5000000       7.46438e-18       7.46438e-18
  98.6000000       7.46389e-18       7.46389e-18
  98.7000000       7.46340e-18       7.46340e-18
  98.8000000       7.46292e-18       7.46292e-18
  98.9000000       7.46243e-18       7.46243e-18
  99.0000000       7.46194e-18       7.46194e-18
  99.1000000       7.46145e-18       7.46145e-18
  99.2000000       7.46096e-18       7.46096e-18
  99.3000000       7.46048e-18       7.46048e-18
  99.4000000       7.45999e-18       7.45999e-18
  99.5000000       7.45950e-18       7.45950e-18
  99.6000000       7.45901e-18       7.45901e-18
  99.7000000       7.45852e-18       7.45852e-18
  99.8000000       7.45804e-18       7.45804e-18
  99.9000000       7.45755e-18       7.45755e-18
 100.0000000       7.45706e-18       7.45706e-18
 100.1000000       7.45657e-18       7.45657e-18
 100.2000000       7.45608e-18       7.45608e-18
 100.3000000       7.45560e-18       7.45560e-18
 100.4000000       7.45511e-18       7.45511e-18
 100.5000000       7.45462e-18       7.45462e-18
 100.6000000       7.45413e-18       7.45413e-18
 100.7000000       7.45364e-18       7.45364e-18
 100.8000000       7.45316e-18       7.45316e-18
 100.9000000       7.45267e-18       7.45267e-18
 101.0000000       7.45218e-18       7.45218e-18
 101.1000000       7.45169e-18       7.45169e-18
 101.2000000       7.45120e-18       7.45120e-18
 101.3000000       7.45072e-18       7.45072e-18
 101.4000000       7.45023e-18       7.45023e-18
 101.5000000       7.44974e-18       7.44974e-18
 101.6000000       7.44925e-18       7.44925e-18
 101.7000000       7.44876e-18       7.44876e-18
 101.8000000       7.44828e-18       7.44828e-18
 101.9000000       7.44779e-18       7.44779e-18
 102.0000000       7.44730e-18       7.44730e-18
 102.1000000       7.44681e-18       7.44681e-18
 102.2000000       7.44633e-18       7.44633e-18
 102.3000000       7.44584e-18       7.44584e-18
 102.4000000       7.44535e-18       7.44535e-18
 102.5000000       7.44486e-18       7.44486e-18
 102.6000000       7.44437e-18       7.44437e-18
 102.7000000       7.44389e-18       7.44389e-18
 102.8000000       7.44340e-18       7.44340e-18
 102.9000000       7.44291e-18       7.44291e-18
 103.0000000       7.44242e-18       7.44242e-18
 103.1000000       7.44193e-18       7.44193e-18
 103.2000000       7.44145e-18       7.44145e-18
 103.3000000       7.44096e-18       7.44096e-18
 103.4000000       7.44047e-18       7.44047e-18
 103.5000000       7.43998e-18       7.43998e-18
 103.6000000       7.43949e-18       7.43949e-18
 103.7000000       7.43901e-18       7.43901e-18
 103.8000000       7.43852e-18       7.43852e-18
 103.9000000       7.43803e-18       7.43803e-18
 104.0000000       7.43754e-18       7.43754e-18
 104.1000000       7.43705e-18       7.43705e-18
 104.2000000       7.43657e-18       7.43657e-18
 104.3000000       7.43608e-18       7.43608e-18
 104.4000000       7.43559e-18       7.43559e-18
 104.5000000       7.43510e-18       7.43510e-18
 104.6000000       7.43461e-18       7.43461e-18
 104.7000000       7.43413e-18       7.43413e-18
 104.8000000       7.43364e-18       7.43364e-18
 104.9000000       7.43315e-18       7.43315e-18
 105.0000000       7.43266e-18       7.43266e-18
 105.1000000       7.43217e-18       7.43217e-18
 105.2000000       7.43169e-18       7.43169e-18
 105.3000000       7.43120e-18       7.43120e-18
 105.4000000       7.43071e-18       7.43071e-18
 105.5000000       7.43022e-18       7.43022e-18
 105.6000000       7.42973e-18       7.42973e-18
 105.7000000       7.42925e-18       7.42925e-18
 105.8000000       7.42876e-18       7.42876e-18
 105.9000000       7.42827e-18       7.42827e-18
 106.0000000       7.42778e-18       7.42778e-18
 106.1000000       7.42729e-18       7.42729e-18
 106.2000000       7.42681e-18       7.42681e-18
 106.3000000       7.42632e-18       7.42632e-18
 106.4000000       7.42583e-18       7.42583e-18
 106.5000000       7.42534e-18       7.42534e-18
 106.6000000       7.42486e-18       7.42486e-18
 106.7000000       7.42437e-18       7.42437e-18
 106.8000000       7.42388e-18       7.42388e-18
 106.9000000       7.42339e-18       7.42339e-18
 107.0000000       7.42290e-18       7.42290e-18
 107.1000000       7.42242e-18       7.42242e-18
 107.2000000       7.42193e-18       7.42193e-18
 107.3000000       7.42144e-18       7.42144e-18
 107.4000000       7.42095e-18       7.42095e-18
 107.5000000       7.42046e-18       7.42046e-18
 107.6000000       7.41998e-18       7.41998e-18
 107.7000000       7.41949e-18       7.41949e-18
 107.8000000       7.41900e-18       7.41900e-18
 107.9000000       7.41851e-18       7.41851e-18
 108.0000000       7.41802e-18       7.41802e-18
 108.1000000       7.41754e-18       7.41754e-18
 108.2000000       7.41705e-18       7.41705e-18
 108.3000000       7.41656e-18       7.41656e-18
 108.4000000       7.41607e-18       7.41607e-18
 108.5000000       7.41558e-18       7.41558e-18
 108.6000000       7.41510e-18       7.41510e-18
 108.7000000       7.41461e-18       7.41461e-18
 108.8000000       7.41412e-18       7.41412e-18
 108.9000000       7.41363e-18       7.41363e-18
 109.0000000       7.41314e-18       7.41314e-18
 109.1000000       7.41266e-18       7.41266e-18
 109.2000000       7.41217e-18       7.41217e-18
 109.3000000       7.41168e-18       7.41168e-18
 109.4000000       7.41119e-18       7.41119e-18
 109.5000000       7.41070e-18       7.41070e-18
 109.6000000       7.41022e-18       7.41022e-18
 109.7000000       7.40973e-18       7.40973e-18
 109.8000000       7.40924e-18       7.40924e-18
 109.9000000       7.40875e-18       7.40875e-18
 110.0000000       7.40826e-18       7.40826e-18
 110.1000000       7.40778e-18       7.40778e-18
 110.2000000       7.40729e-18       7.40729e-18
 110.3000000       7.40680e-18       7.40680e-18
 110.4000000       7.40631e-18       7.40631e-18
