# Fe photoionisation cross section
# Alan Heays 2016-02-03
# Reference: reed2009,hansen1977,bautista1995,tondello1975,lombardi1978,verner1996
# photoionisation: Photoionisation cross section (cm2)
# Fe+: Fe + hnu -> Fe+ + e- cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  18.9000000       7.24741e-18       7.24741e-18
  19.0000000       7.23324e-18       7.23324e-18
  19.1000000       7.21446e-18       7.21446e-18
  19.2000000       7.19581e-18       7.19581e-18
  19.3000000       7.17728e-18       7.17728e-18
  19.4000000       7.15889e-18       7.15889e-18
  19.5000000       7.14061e-18       7.14061e-18
  19.6000000       7.12247e-18       7.12247e-18
  19.7000000       7.10444e-18       7.10444e-18
  19.8000000       7.08654e-18       7.08654e-18
  19.9000000       7.06876e-18       7.06876e-18
  20.0000000       7.05109e-18       7.05109e-18
  20.1000000       7.03354e-18       7.03354e-18
  20.2000000       7.01611e-18       7.01611e-18
  20.3000000       6.99879e-18       6.99879e-18
  20.4000000       6.98159e-18       6.98159e-18
  20.5000000       6.96450e-18       6.96450e-18
  20.6000000       6.94751e-18       6.94751e-18
  20.7000000       6.93064e-18       6.93064e-18
  20.8000000       6.91387e-18       6.91387e-18
  20.9000000       6.89721e-18       6.89721e-18
  21.0000000       6.88066e-18       6.88066e-18
  21.1000000       6.86421e-18       6.86421e-18
  21.2000000       6.84786e-18       6.84786e-18
  21.3000000       6.83162e-18       6.83162e-18
  21.4000000       6.81547e-18       6.81547e-18
  21.5000000       6.79943e-18       6.79943e-18
  21.6000000       6.78348e-18       6.78348e-18
  21.7000000       6.76763e-18       6.76763e-18
  21.8000000       6.75188e-18       6.75188e-18
  21.9000000       6.73623e-18       6.73623e-18
  22.0000000       6.72066e-18       6.72066e-18
  22.1000000       6.70519e-18       6.70519e-18
  22.2000000       6.68982e-18       6.68982e-18
  22.3000000       6.67453e-18       6.67453e-18
  22.4000000       6.65934e-18       6.65934e-18
  22.5000000       6.64423e-18       6.64423e-18
  22.6000000       6.62921e-18       6.62921e-18
  22.7000000       6.61429e-18       6.61429e-18
  22.8000000       6.59944e-18       6.59944e-18
  22.9000000       6.58469e-18       6.58469e-18
  23.0000000       6.57001e-18       6.57001e-18
  23.1000000       6.55542e-18       6.55542e-18
  23.2000000       6.54092e-18       6.54092e-18
  23.3000000       6.52650e-18       6.52650e-18
  23.4000000       6.51216e-18       6.51216e-18
  23.5000000       6.49789e-18       6.49789e-18
  23.6000000       6.48371e-18       6.48371e-18
  23.7000000       6.46961e-18       6.46961e-18
  23.8000000       6.45559e-18       6.45559e-18
  23.9000000       6.44164e-18       6.44164e-18
  24.0000000       6.42777e-18       6.42777e-18
  24.1000000       6.41398e-18       6.41398e-18
  24.2000000       6.40026e-18       6.40026e-18
  24.3000000       6.38661e-18       6.38661e-18
  24.4000000       6.37304e-18       6.37304e-18
  24.5000000       6.35955e-18       6.35955e-18
  24.6000000       6.34612e-18       6.34612e-18
  24.7000000       6.33277e-18       6.33277e-18
  24.8000000       6.31949e-18       6.31949e-18
  24.9000000       6.30627e-18       6.30627e-18
  25.0000000       6.29313e-18       6.29313e-18
  25.1000000       6.28006e-18       6.28006e-18
  25.2000000       6.26705e-18       6.26705e-18
  25.3000000       6.25411e-18       6.25411e-18
  25.4000000       6.24124e-18       6.24124e-18
  25.5000000       6.22844e-18       6.22844e-18
  25.6000000       6.21570e-18       6.21570e-18
  25.7000000       6.20302e-18       6.20302e-18
  25.8000000       6.19041e-18       6.19041e-18
  25.9000000       6.17787e-18       6.17787e-18
  26.0000000       6.16538e-18       6.16538e-18
  26.1000000       6.15297e-18       6.15297e-18
  26.2000000       6.14061e-18       6.14061e-18
  26.3000000       6.12831e-18       6.12831e-18
  26.4000000       6.11608e-18       6.11608e-18
  26.5000000       6.10390e-18       6.10390e-18
  26.6000000       6.09179e-18       6.09179e-18
  26.7000000       6.07973e-18       6.07973e-18
  26.8000000       6.06774e-18       6.06774e-18
  26.9000000       6.05580e-18       6.05580e-18
  27.0000000       6.04392e-18       6.04392e-18
  27.1000000       6.03210e-18       6.03210e-18
  27.2000000       6.02033e-18       6.02033e-18
  27.3000000       6.00863e-18       6.00863e-18
  27.4000000       5.99697e-18       5.99697e-18
  27.5000000       5.98538e-18       5.98538e-18
  27.6000000       5.97383e-18       5.97383e-18
  27.7000000       5.96234e-18       5.96234e-18
  27.8000000       5.95091e-18       5.95091e-18
  27.9000000       5.93953e-18       5.93953e-18
  28.0000000       5.92820e-18       5.92820e-18
  28.1000000       5.91693e-18       5.91693e-18
  28.2000000       5.90570e-18       5.90570e-18
  28.3000000       5.89453e-18       5.89453e-18
  28.4000000       5.88341e-18       5.88341e-18
  28.5000000       5.87235e-18       5.87235e-18
  28.6000000       5.86133e-18       5.86133e-18
  28.7000000       5.85036e-18       5.85036e-18
  28.8000000       5.83944e-18       5.83944e-18
  28.9000000       5.82857e-18       5.82857e-18
  29.0000000       5.81775e-18       5.81775e-18
  29.1000000       5.80698e-18       5.80698e-18
  29.2000000       5.79625e-18       5.79625e-18
  29.3000000       5.78558e-18       5.78558e-18
  29.4000000       5.77495e-18       5.77495e-18
  29.5000000       5.76436e-18       5.76436e-18
  29.6000000       5.75383e-18       5.75383e-18
  29.7000000       5.74334e-18       5.74334e-18
  29.8000000       5.73289e-18       5.73289e-18
  29.9000000       5.72249e-18       5.72249e-18
  30.0000000       5.71214e-18       5.71214e-18
  30.1000000       5.70183e-18       5.70183e-18
  30.2000000       5.69157e-18       5.69157e-18
  30.3000000       5.68135e-18       5.68135e-18
  30.4000000       5.67117e-18       5.67117e-18
  30.5000000       5.66103e-18       5.66103e-18
  30.6000000       5.65094e-18       5.65094e-18
  30.7000000       5.64089e-18       5.64089e-18
  30.8000000       5.63089e-18       5.63089e-18
  30.9000000       5.62092e-18       5.62092e-18
  31.0000000       5.61100e-18       5.61100e-18
  31.1000000       5.60112e-18       5.60112e-18
  31.2000000       5.59128e-18       5.59128e-18
  31.3000000       5.58148e-18       5.58148e-18
  31.4000000       5.57172e-18       5.57172e-18
  31.5000000       5.56200e-18       5.56200e-18
  31.6000000       5.55232e-18       5.55232e-18
  31.7000000       5.54268e-18       5.54268e-18
  31.8000000       5.53308e-18       5.53308e-18
  31.9000000       5.52352e-18       5.52352e-18
  32.0000000       5.51399e-18       5.51399e-18
  32.1000000       5.50451e-18       5.50451e-18
  32.2000000       5.49506e-18       5.49506e-18
  32.3000000       5.48565e-18       5.48565e-18
  32.4000000       5.47628e-18       5.47628e-18
  32.5000000       5.46694e-18       5.46694e-18
  32.6000000       5.45765e-18       5.45765e-18
  32.7000000       5.44839e-18       5.44839e-18
  32.8000000       5.43916e-18       5.43916e-18
  32.9000000       5.42997e-18       5.42997e-18
  33.0000000       5.42082e-18       5.42082e-18
  33.1000000       5.41170e-18       5.41170e-18
  33.2000000       5.40262e-18       5.40262e-18
  33.3000000       5.39357e-18       5.39357e-18
  33.4000000       5.38456e-18       5.38456e-18
  33.5000000       5.37558e-18       5.37558e-18
  33.6000000       5.36664e-18       5.36664e-18
  33.7000000       5.35773e-18       5.35773e-18
  33.8000000       5.34885e-18       5.34885e-18
  33.9000000       5.34001e-18       5.34001e-18
  34.0000000       5.33120e-18       5.33120e-18
  34.1000000       5.32243e-18       5.32243e-18
  34.2000000       5.31369e-18       5.31369e-18
  34.3000000       5.30498e-18       5.30498e-18
  34.4000000       5.29630e-18       5.29630e-18
  34.5000000       5.28765e-18       5.28765e-18
  34.6000000       5.27904e-18       5.27904e-18
  34.7000000       5.27046e-18       5.27046e-18
  34.8000000       5.26191e-18       5.26191e-18
  34.9000000       5.25339e-18       5.25339e-18
  35.0000000       5.24491e-18       5.24491e-18
  35.1000000       5.23645e-18       5.23645e-18
  35.2000000       5.22802e-18       5.22802e-18
  35.3000000       5.21963e-18       5.21963e-18
  35.4000000       5.21126e-18       5.21126e-18
  35.5000000       5.20293e-18       5.20293e-18
  35.6000000       5.19462e-18       5.19462e-18
  35.7000000       5.18635e-18       5.18635e-18
  35.8000000       5.17810e-18       5.17810e-18
  35.9000000       5.16989e-18       5.16989e-18
  36.0000000       5.16170e-18       5.16170e-18
  36.1000000       5.15354e-18       5.15354e-18
  36.2000000       5.14541e-18       5.14541e-18
  36.3000000       5.13731e-18       5.13731e-18
  36.4000000       5.12924e-18       5.12924e-18
  36.5000000       5.12120e-18       5.12120e-18
  36.6000000       5.11318e-18       5.11318e-18
  36.7000000       5.10519e-18       5.10519e-18
  36.8000000       5.09723e-18       5.09723e-18
  36.9000000       5.08930e-18       5.08930e-18
  37.0000000       5.08139e-18       5.08139e-18
  37.1000000       5.07351e-18       5.07351e-18
  37.2000000       5.06566e-18       5.06566e-18
  37.3000000       5.05783e-18       5.05783e-18
  37.4000000       5.05003e-18       5.05003e-18
  37.5000000       5.04226e-18       5.04226e-18
  37.6000000       5.03451e-18       5.03451e-18
  37.7000000       5.02679e-18       5.02679e-18
  37.8000000       5.01910e-18       5.01910e-18
  37.9000000       5.01143e-18       5.01143e-18
  38.0000000       5.00379e-18       5.00379e-18
  38.1000000       4.99617e-18       4.99617e-18
  38.2000000       4.98858e-18       4.98858e-18
  38.3000000       4.98101e-18       4.98101e-18
  38.4000000       4.97347e-18       4.97347e-18
  38.5000000       4.96595e-18       4.96595e-18
  38.6000000       4.95846e-18       4.95846e-18
  38.7000000       4.95099e-18       4.95099e-18
  38.8000000       4.94355e-18       4.94355e-18
  38.9000000       4.93613e-18       4.93613e-18
  39.0000000       4.92873e-18       4.92873e-18
  39.1000000       4.92136e-18       4.92136e-18
  39.2000000       4.91401e-18       4.91401e-18
  39.3000000       4.90669e-18       4.90669e-18
  39.4000000       4.89938e-18       4.89938e-18
  39.5000000       4.89211e-18       4.89211e-18
  39.6000000       4.88485e-18       4.88485e-18
  39.7000000       4.87762e-18       4.87762e-18
  39.8000000       4.87041e-18       4.87041e-18
  39.9000000       4.86322e-18       4.86322e-18
  40.0000000       4.85606e-18       4.85606e-18
  40.1000000       4.84892e-18       4.84892e-18
  40.2000000       4.84180e-18       4.84180e-18
  40.3000000       4.83471e-18       4.83471e-18
  40.4000000       4.82763e-18       4.82763e-18
  40.5000000       4.82058e-18       4.82058e-18
  40.6000000       4.81355e-18       4.81355e-18
  40.7000000       4.80654e-18       4.80654e-18
  40.8000000       4.79955e-18       4.79955e-18
  40.9000000       4.79259e-18       4.79259e-18
  41.0000000       4.78564e-18       4.78564e-18
  41.1000000       4.77872e-18       4.77872e-18
  41.2000000       4.77182e-18       4.77182e-18
  41.3000000       4.76494e-18       4.76494e-18
  41.4000000       4.75808e-18       4.75808e-18
  41.5000000       4.75124e-18       4.75124e-18
  41.6000000       4.74442e-18       4.74442e-18
  41.7000000       4.73762e-18       4.73762e-18
  41.8000000       4.73084e-18       4.73084e-18
  41.9000000       4.72408e-18       4.72408e-18
  42.0000000       4.71735e-18       4.71735e-18
  42.1000000       4.71063e-18       4.71063e-18
  42.2000000       4.70393e-18       4.70393e-18
  42.3000000       4.69725e-18       4.69725e-18
  42.4000000       4.69059e-18       4.69059e-18
  42.5000000       4.68396e-18       4.68396e-18
  42.6000000       4.67733e-18       4.67733e-18
  42.7000000       4.67074e-18       4.67074e-18
  42.8000000       4.66416e-18       4.66416e-18
  42.9000000       4.65759e-18       4.65759e-18
