# K photoionisation cross section
# Alan Heays 2020-09-10
# Reference: sandner1981,zatsarinny2010
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  50.1000000       1.00218e-19       1.00218e-19
  50.2000000       1.00349e-19       1.00349e-19
  50.3000000       1.00523e-19       1.00523e-19
  50.4000000       1.00697e-19       1.00697e-19
  50.5000000       1.00871e-19       1.00871e-19
  50.6000000       1.01046e-19       1.01046e-19
  50.7000000       1.01220e-19       1.01220e-19
  50.8000000       1.01394e-19       1.01394e-19
  50.9000000       1.01569e-19       1.01569e-19
  51.0000000       1.01743e-19       1.01743e-19
  51.1000000       1.01917e-19       1.01917e-19
  51.2000000       1.02092e-19       1.02092e-19
  51.3000000       1.02266e-19       1.02266e-19
  51.4000000       1.02440e-19       1.02440e-19
  51.5000000       1.02614e-19       1.02614e-19
  51.6000000       1.02789e-19       1.02789e-19
  51.7000000       1.02963e-19       1.02963e-19
  51.8000000       1.03137e-19       1.03137e-19
  51.9000000       1.03312e-19       1.03312e-19
  52.0000000       1.03486e-19       1.03486e-19
  52.1000000       1.03660e-19       1.03660e-19
  52.2000000       1.03835e-19       1.03835e-19
  52.3000000       1.04009e-19       1.04009e-19
  52.4000000       1.04183e-19       1.04183e-19
  52.5000000       1.04357e-19       1.04357e-19
  52.6000000       1.04532e-19       1.04532e-19
  52.7000000       1.04706e-19       1.04706e-19
  52.8000000       1.04880e-19       1.04880e-19
  52.9000000       1.05055e-19       1.05055e-19
  53.0000000       1.05229e-19       1.05229e-19
  53.1000000       1.05403e-19       1.05403e-19
  53.2000000       1.05578e-19       1.05578e-19
  53.3000000       1.05752e-19       1.05752e-19
  53.4000000       1.05926e-19       1.05926e-19
  53.5000000       1.06100e-19       1.06100e-19
  53.6000000       1.06275e-19       1.06275e-19
  53.7000000       1.06449e-19       1.06449e-19
  53.8000000       1.06623e-19       1.06623e-19
  53.9000000       1.06798e-19       1.06798e-19
  54.0000000       1.06972e-19       1.06972e-19
  54.1000000       1.07146e-19       1.07146e-19
  54.2000000       1.07320e-19       1.07320e-19
  54.3000000       1.07495e-19       1.07495e-19
  54.4000000       1.07669e-19       1.07669e-19
  54.5000000       1.07843e-19       1.07843e-19
  54.6000000       1.08018e-19       1.08018e-19
  54.7000000       1.08192e-19       1.08192e-19
  54.8000000       1.08366e-19       1.08366e-19
  54.9000000       1.08541e-19       1.08541e-19
  55.0000000       1.08715e-19       1.08715e-19
  55.1000000       1.08889e-19       1.08889e-19
  55.2000000       1.09063e-19       1.09063e-19
  55.3000000       1.09238e-19       1.09238e-19
  55.4000000       1.09412e-19       1.09412e-19
  55.5000000       1.09586e-19       1.09586e-19
  55.6000000       1.09761e-19       1.09761e-19
  55.7000000       1.09935e-19       1.09935e-19
  55.8000000       1.10109e-19       1.10109e-19
  55.9000000       1.10284e-19       1.10284e-19
  56.0000000       1.10458e-19       1.10458e-19
  56.1000000       1.10632e-19       1.10632e-19
  56.2000000       1.10806e-19       1.10806e-19
  56.3000000       1.10981e-19       1.10981e-19
  56.4000000       1.11155e-19       1.11155e-19
  56.5000000       1.11329e-19       1.11329e-19
  56.6000000       1.11504e-19       1.11504e-19
  56.7000000       1.11678e-19       1.11678e-19
  56.8000000       1.11852e-19       1.11852e-19
  56.9000000       1.12027e-19       1.12027e-19
  57.0000000       1.12201e-19       1.12201e-19
  57.1000000       1.12375e-19       1.12375e-19
  57.2000000       1.12549e-19       1.12549e-19
  57.3000000       1.12724e-19       1.12724e-19
  57.4000000       1.12898e-19       1.12898e-19
  57.5000000       1.13072e-19       1.13072e-19
  57.6000000       1.13247e-19       1.13247e-19
  57.7000000       1.13421e-19       1.13421e-19
  57.8000000       1.13595e-19       1.13595e-19
  57.9000000       1.13769e-19       1.13769e-19
  58.0000000       1.13944e-19       1.13944e-19
  58.1000000       1.14118e-19       1.14118e-19
  58.2000000       1.14292e-19       1.14292e-19
  58.3000000       1.14467e-19       1.14467e-19
  58.4000000       1.14641e-19       1.14641e-19
  58.5000000       1.14815e-19       1.14815e-19
