# Li photoionisation cross section
# Alan Heays 2020-09-10
# Reference: huebner2015
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
   0.1000000       1.53334e-22       1.53334e-22
   0.2000000       2.53334e-22       2.53334e-22
   0.3000000       3.86667e-22       3.86667e-22
   0.4000000       5.20000e-22       5.20000e-22
   0.5000000       6.53333e-22       6.53333e-22
   0.6000000       7.86667e-22       7.86667e-22
   0.7000000       9.20000e-22       9.20000e-22
   0.8000000       1.05333e-21       1.05333e-21
   0.9000000       1.18667e-21       1.18667e-21
   1.0000000       1.42433e-21       1.42433e-21
   1.1000000       2.28800e-21       2.28800e-21
   1.2000000       3.25600e-21       3.25600e-21
   1.3000000       4.22400e-21       4.22400e-21
   1.4000000       5.19200e-21       5.19200e-21
   1.5000000       6.16000e-21       6.16000e-21
   1.6000000       7.12800e-21       7.12800e-21
   1.7000000       8.09600e-21       8.09600e-21
   1.8000000       9.06400e-21       9.06400e-21
   1.9000000       1.00320e-20       1.00320e-20
   2.0000000       1.11978e-20       1.11978e-20
   2.1000000       1.35500e-20       1.35500e-20
   2.2000000       1.61000e-20       1.61000e-20
   2.3000000       1.86500e-20       1.86500e-20
   2.4000000       2.12000e-20       2.12000e-20
   2.5000000       2.37500e-20       2.37500e-20
   2.6000000       2.63000e-20       2.63000e-20
   2.7000000       2.88500e-20       2.88500e-20
   2.8000000       3.14000e-20       3.14000e-20
   2.9000000       3.39500e-20       3.39500e-20
   3.0000000       3.67675e-20       3.67675e-20
   3.1000000       4.11900e-20       4.11900e-20
   3.2000000       4.58800e-20       4.58800e-20
   3.3000000       5.05700e-20       5.05700e-20
   3.4000000       5.52600e-20       5.52600e-20
   3.5000000       5.99500e-20       5.99500e-20
   3.6000000       6.46400e-20       6.46400e-20
   3.7000000       6.93300e-20       6.93300e-20
   3.8000000       7.40200e-20       7.40200e-20
   3.9000000       7.87100e-20       7.87100e-20
   4.0000000       8.37213e-20       8.37213e-20
   4.1000000       9.06600e-20       9.06600e-20
   4.2000000       9.79200e-20       9.79200e-20
   4.3000000       1.05180e-19       1.05180e-19
   4.4000000       1.12440e-19       1.12440e-19
   4.5000000       1.19700e-19       1.19700e-19
   4.6000000       1.26960e-19       1.26960e-19
