# Mg photoionisation cross section
# Alan Heays 2016-02-03
# Reference: yih1998, mendoza1996, TOPbase_database
# photoionisation: Photoionisation cross section (cm2)
# Mg+: Mg + hnu -> Mg+ + e- cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
   8.1000000       3.09309e-21       3.09309e-21
   8.2000000       3.17937e-21       3.17937e-21
   8.3000000       3.29694e-21       3.29694e-21
   8.4000000       3.41746e-21       3.41746e-21
   8.5000000       3.54154e-21       3.54154e-21
   8.6000000       3.66768e-21       3.66768e-21
   8.7000000       3.79733e-21       3.79733e-21
   8.8000000       3.92933e-21       3.92933e-21
   8.9000000       4.06449e-21       4.06449e-21
   9.0000000       4.20336e-21       4.20336e-21
   9.1000000       4.34490e-21       4.34490e-21
   9.2000000       4.49019e-21       4.49019e-21
   9.3000000       4.63743e-21       4.63743e-21
   9.4000000       4.78932e-21       4.78932e-21
   9.5000000       4.94319e-21       4.94319e-21
   9.6000000       5.10181e-21       5.10181e-21
   9.7000000       5.26236e-21       5.26236e-21
   9.8000000       5.42742e-21       5.42742e-21
   9.9000000       5.59457e-21       5.59457e-21
  10.0000000       5.76664e-21       5.76664e-21
  10.1000000       5.94073e-21       5.94073e-21
  10.2000000       6.11958e-21       6.11958e-21
  10.3000000       6.30039e-21       6.30039e-21
  10.4000000       6.48640e-21       6.48640e-21
  10.5000000       6.67418e-21       6.67418e-21
  10.6000000       6.86764e-21       6.86764e-21
  10.7000000       7.06268e-21       7.06268e-21
  10.8000000       7.26390e-21       7.26390e-21
  10.9000000       7.46664e-21       7.46664e-21
  11.0000000       7.67508e-21       7.67508e-21
  11.1000000       7.88540e-21       7.88540e-21
  11.2000000       8.10112e-21       8.10112e-21
  11.3000000       8.32035e-21       8.32035e-21
  11.4000000       8.54276e-21       8.54276e-21
  11.5000000       8.77041e-21       8.77041e-21
  11.6000000       8.99963e-21       8.99963e-21
  11.7000000       9.23566e-21       9.23566e-21
  11.8000000       9.47280e-21       9.47280e-21
  11.9000000       9.71679e-21       9.71679e-21
  12.0000000       9.96378e-21       9.96378e-21
  12.1000000       1.02143e-20       1.02143e-20
  12.2000000       1.04713e-20       1.04713e-20
  12.3000000       1.07291e-20       1.07291e-20
  12.4000000       1.09932e-20       1.09932e-20
  12.5000000       1.12589e-20       1.12589e-20
  12.6000000       1.15299e-20       1.15299e-20
  12.7000000       1.18082e-20       1.18082e-20
  12.8000000       1.20875e-20       1.20875e-20
  12.9000000       1.23756e-20       1.23756e-20
  13.0000000       1.26661e-20       1.26661e-20
  13.1000000       1.29602e-20       1.29602e-20
  13.2000000       1.32619e-20       1.32619e-20
  13.3000000       1.35640e-20       1.35640e-20
  13.4000000       1.38729e-20       1.38729e-20
  13.5000000       1.41858e-20       1.41858e-20
  13.6000000       1.45002e-20       1.45002e-20
  13.7000000       1.48255e-20       1.48255e-20
  13.8000000       1.51530e-20       1.51530e-20
  13.9000000       1.54839e-20       1.54839e-20
  14.0000000       1.58246e-20       1.58246e-20
