# Cross sections for Mn
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photoionisation source: Mn PHOTOIONIZATION
# Lines represented with lorentzian of width 0.0005 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photoionisation:    cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  91.3000000       2.98580e-20       2.98580e-20
  91.4000000       2.97727e-20       2.97727e-20
  91.5000000       2.96591e-20       2.96591e-20
  91.6000000       2.95455e-20       2.95455e-20
  91.7000000       2.94318e-20       2.94318e-20
  91.8000000       2.93182e-20       2.93182e-20
  91.9000000       2.92045e-20       2.92045e-20
  92.0000000       2.90909e-20       2.90909e-20
  92.1000000       2.89773e-20       2.89773e-20
  92.2000000       2.88636e-20       2.88636e-20
  92.3000000       2.87500e-20       2.87500e-20
  92.4000000       2.86364e-20       2.86364e-20
  92.5000000       2.85227e-20       2.85227e-20
  92.6000000       2.84091e-20       2.84091e-20
  92.7000000       2.82955e-20       2.82955e-20
  92.8000000       2.81818e-20       2.81818e-20
  92.9000000       2.80682e-20       2.80682e-20
  93.0000000       2.79545e-20       2.79545e-20
  93.1000000       2.78409e-20       2.78409e-20
  93.2000000       2.77273e-20       2.77273e-20
  93.3000000       2.76136e-20       2.76136e-20
  93.4000000       2.75000e-20       2.75000e-20
  93.5000000       2.73864e-20       2.73864e-20
  93.6000000       2.72727e-20       2.72727e-20
  93.7000000       2.71591e-20       2.71591e-20
  93.8000000       2.70455e-20       2.70455e-20
  93.9000000       2.69318e-20       2.69318e-20
  94.0000000       2.68182e-20       2.68182e-20
  94.1000000       2.67045e-20       2.67045e-20
  94.2000000       2.65909e-20       2.65909e-20
  94.3000000       2.64773e-20       2.64773e-20
  94.4000000       2.63636e-20       2.63636e-20
  94.5000000       2.62500e-20       2.62500e-20
  94.6000000       2.61364e-20       2.61364e-20
  94.7000000       2.60227e-20       2.60227e-20
  94.8000000       2.59091e-20       2.59091e-20
  94.9000000       2.57955e-20       2.57955e-20
  95.0000000       2.56818e-20       2.56818e-20
  95.1000000       2.55682e-20       2.55682e-20
  95.2000000       2.54545e-20       2.54545e-20
  95.3000000       2.53409e-20       2.53409e-20
  95.4000000       2.52273e-20       2.52273e-20
  95.5000000       2.51136e-20       2.51136e-20
  95.6000000       2.50000e-20       2.50000e-20
  95.7000000       2.48864e-20       2.48864e-20
  95.8000000       2.47727e-20       2.47727e-20
  95.9000000       2.46591e-20       2.46591e-20
  96.0000000       2.45455e-20       2.45455e-20
  96.1000000       2.44318e-20       2.44318e-20
  96.2000000       2.43182e-20       2.43182e-20
  96.3000000       2.42045e-20       2.42045e-20
  96.4000000       2.40909e-20       2.40909e-20
  96.5000000       2.39773e-20       2.39773e-20
  96.6000000       2.38636e-20       2.38636e-20
  96.7000000       2.37500e-20       2.37500e-20
  96.8000000       2.36364e-20       2.36364e-20
  96.9000000       2.35227e-20       2.35227e-20
  97.0000000       2.34091e-20       2.34091e-20
  97.1000000       2.32955e-20       2.32955e-20
  97.2000000       2.31818e-20       2.31818e-20
  97.3000000       2.30682e-20       2.30682e-20
  97.4000000       2.29545e-20       2.29545e-20
  97.5000000       2.28409e-20       2.28409e-20
  97.6000000       2.27273e-20       2.27273e-20
  97.7000000       2.26136e-20       2.26136e-20
  97.8000000       2.25000e-20       2.25000e-20
  97.9000000       2.23864e-20       2.23864e-20
  98.0000000       2.22727e-20       2.22727e-20
  98.1000000       2.21591e-20       2.21591e-20
  98.2000000       2.20455e-20       2.20455e-20
  98.3000000       2.19318e-20       2.19318e-20
  98.4000000       2.18182e-20       2.18182e-20
  98.5000000       2.17045e-20       2.17045e-20
  98.6000000       2.15909e-20       2.15909e-20
  98.7000000       2.14773e-20       2.14773e-20
  98.8000000       2.13636e-20       2.13636e-20
  98.9000000       2.12500e-20       2.12500e-20
  99.0000000       2.11364e-20       2.11364e-20
  99.1000000       2.10227e-20       2.10227e-20
  99.2000000       2.09091e-20       2.09091e-20
  99.3000000       2.07955e-20       2.07955e-20
  99.4000000       2.06818e-20       2.06818e-20
  99.5000000       2.05682e-20       2.05682e-20
  99.6000000       2.04545e-20       2.04545e-20
  99.7000000       2.03409e-20       2.03409e-20
  99.8000000       2.02273e-20       2.02273e-20
  99.9000000       2.01136e-20       2.01136e-20
 100.0000000       2.00211e-20       2.00211e-20
 100.1000000       2.00550e-20       2.00550e-20
 100.2000000       2.01100e-20       2.01100e-20
 100.3000000       2.01650e-20       2.01650e-20
 100.4000000       2.02200e-20       2.02200e-20
 100.5000000       2.02750e-20       2.02750e-20
 100.6000000       2.03300e-20       2.03300e-20
 100.7000000       2.03850e-20       2.03850e-20
 100.8000000       2.04400e-20       2.04400e-20
 100.9000000       2.04950e-20       2.04950e-20
 101.0000000       2.05500e-20       2.05500e-20
 101.1000000       2.06050e-20       2.06050e-20
 101.2000000       2.06600e-20       2.06600e-20
 101.3000000       2.07150e-20       2.07150e-20
 101.4000000       2.07700e-20       2.07700e-20
 101.5000000       2.08250e-20       2.08250e-20
 101.6000000       2.08800e-20       2.08800e-20
 101.7000000       2.09350e-20       2.09350e-20
 101.8000000       2.09900e-20       2.09900e-20
 101.9000000       2.10450e-20       2.10450e-20
 102.0000000       2.11000e-20       2.11000e-20
 102.1000000       2.11550e-20       2.11550e-20
 102.2000000       2.12100e-20       2.12100e-20
 102.3000000       2.12650e-20       2.12650e-20
 102.4000000       2.13200e-20       2.13200e-20
 102.5000000       2.13750e-20       2.13750e-20
 102.6000000       2.14300e-20       2.14300e-20
 102.7000000       2.14850e-20       2.14850e-20
 102.8000000       2.15400e-20       2.15400e-20
 102.9000000       2.15950e-20       2.15950e-20
 103.0000000       2.16500e-20       2.16500e-20
 103.1000000       2.17050e-20       2.17050e-20
 103.2000000       2.17600e-20       2.17600e-20
 103.3000000       2.18150e-20       2.18150e-20
 103.4000000       2.18700e-20       2.18700e-20
 103.5000000       2.19250e-20       2.19250e-20
 103.6000000       2.19800e-20       2.19800e-20
 103.7000000       2.20350e-20       2.20350e-20
 103.8000000       2.20900e-20       2.20900e-20
 103.9000000       2.21450e-20       2.21450e-20
 104.0000000       2.22000e-20       2.22000e-20
 104.1000000       2.22550e-20       2.22550e-20
 104.2000000       2.23100e-20       2.23100e-20
 104.3000000       2.23650e-20       2.23650e-20
 104.4000000       2.24200e-20       2.24200e-20
 104.5000000       2.24750e-20       2.24750e-20
 104.6000000       2.25300e-20       2.25300e-20
 104.7000000       2.25850e-20       2.25850e-20
 104.8000000       2.26400e-20       2.26400e-20
 104.9000000       2.26950e-20       2.26950e-20
 105.0000000       2.27500e-20       2.27500e-20
 105.1000000       2.28050e-20       2.28050e-20
 105.2000000       2.28600e-20       2.28600e-20
 105.3000000       2.29150e-20       2.29150e-20
 105.4000000       2.29700e-20       2.29700e-20
 105.5000000       2.30250e-20       2.30250e-20
 105.6000000       2.30800e-20       2.30800e-20
 105.7000000       2.31350e-20       2.31350e-20
 105.8000000       2.31900e-20       2.31900e-20
 105.9000000       2.32450e-20       2.32450e-20
 106.0000000       2.33000e-20       2.33000e-20
 106.1000000       2.33550e-20       2.33550e-20
 106.2000000       2.34100e-20       2.34100e-20
 106.3000000       2.34650e-20       2.34650e-20
 106.4000000       2.35200e-20       2.35200e-20
 106.5000000       2.35750e-20       2.35750e-20
 106.6000000       2.36300e-20       2.36300e-20
 106.7000000       2.36850e-20       2.36850e-20
 106.8000000       2.37400e-20       2.37400e-20
 106.9000000       2.37950e-20       2.37950e-20
 107.0000000       2.38500e-20       2.38500e-20
 107.1000000       2.39050e-20       2.39050e-20
 107.2000000       2.39600e-20       2.39600e-20
 107.3000000       2.40150e-20       2.40150e-20
 107.4000000       2.40700e-20       2.40700e-20
 107.5000000       2.41250e-20       2.41250e-20
 107.6000000       2.41800e-20       2.41800e-20
 107.7000000       2.42350e-20       2.42350e-20
 107.8000000       2.42900e-20       2.42900e-20
 107.9000000       2.43450e-20       2.43450e-20
 108.0000000       2.44000e-20       2.44000e-20
 108.1000000       2.44550e-20       2.44550e-20
 108.2000000       2.45100e-20       2.45100e-20
 108.3000000       2.45650e-20       2.45650e-20
 108.4000000       2.46200e-20       2.46200e-20
 108.5000000       2.46750e-20       2.46750e-20
 108.6000000       2.47300e-20       2.47300e-20
 108.7000000       2.47850e-20       2.47850e-20
 108.8000000       2.48400e-20       2.48400e-20
 108.9000000       2.48950e-20       2.48950e-20
 109.0000000       2.49500e-20       2.49500e-20
 109.1000000       2.50050e-20       2.50050e-20
 109.2000000       2.50600e-20       2.50600e-20
 109.3000000       2.51150e-20       2.51150e-20
 109.4000000       2.51700e-20       2.51700e-20
 109.5000000       2.52250e-20       2.52250e-20
 109.6000000       2.52800e-20       2.52800e-20
 109.7000000       2.53350e-20       2.53350e-20
 109.8000000       2.53900e-20       2.53900e-20
 109.9000000       2.54450e-20       2.54450e-20
 110.0000000       2.55000e-20       2.55000e-20
 110.1000000       2.55550e-20       2.55550e-20
 110.2000000       2.56100e-20       2.56100e-20
 110.3000000       2.56650e-20       2.56650e-20
 110.4000000       2.57200e-20       2.57200e-20
 110.5000000       2.57750e-20       2.57750e-20
 110.6000000       2.58300e-20       2.58300e-20
 110.7000000       2.58850e-20       2.58850e-20
 110.8000000       2.59400e-20       2.59400e-20
 110.9000000       2.59950e-20       2.59950e-20
 111.0000000       2.60500e-20       2.60500e-20
 111.1000000       2.61050e-20       2.61050e-20
 111.2000000       2.61600e-20       2.61600e-20
 111.3000000       2.62150e-20       2.62150e-20
 111.4000000       2.62700e-20       2.62700e-20
 111.5000000       2.63250e-20       2.63250e-20
 111.6000000       2.63800e-20       2.63800e-20
 111.7000000       2.64350e-20       2.64350e-20
 111.8000000       2.64900e-20       2.64900e-20
 111.9000000       2.65450e-20       2.65450e-20
 112.0000000       2.66000e-20       2.66000e-20
 112.1000000       2.66550e-20       2.66550e-20
 112.2000000       2.67100e-20       2.67100e-20
 112.3000000       2.67650e-20       2.67650e-20
 112.4000000       2.68200e-20       2.68200e-20
 112.5000000       2.68750e-20       2.68750e-20
 112.6000000       2.69300e-20       2.69300e-20
 112.7000000       2.69850e-20       2.69850e-20
 112.8000000       2.70400e-20       2.70400e-20
 112.9000000       2.70950e-20       2.70950e-20
 113.0000000       2.71500e-20       2.71500e-20
 113.1000000       2.72050e-20       2.72050e-20
 113.2000000       2.72600e-20       2.72600e-20
 113.3000000       2.73150e-20       2.73150e-20
 113.4000000       2.73700e-20       2.73700e-20
 113.5000000       2.74250e-20       2.74250e-20
 113.6000000       2.74800e-20       2.74800e-20
 113.7000000       2.75350e-20       2.75350e-20
 113.8000000       2.75900e-20       2.75900e-20
 113.9000000       2.76450e-20       2.76450e-20
 114.0000000       2.77000e-20       2.77000e-20
 114.1000000       2.77550e-20       2.77550e-20
 114.2000000       2.78100e-20       2.78100e-20
 114.3000000       2.78650e-20       2.78650e-20
 114.4000000       2.79200e-20       2.79200e-20
 114.5000000       2.79750e-20       2.79750e-20
 114.6000000       2.80300e-20       2.80300e-20
 114.7000000       2.80850e-20       2.80850e-20
 114.8000000       2.81400e-20       2.81400e-20
 114.9000000       2.81950e-20       2.81950e-20
 115.0000000       2.82500e-20       2.82500e-20
 115.1000000       2.83050e-20       2.83050e-20
 115.2000000       2.83600e-20       2.83600e-20
 115.3000000       2.84150e-20       2.84150e-20
 115.4000000       2.84700e-20       2.84700e-20
 115.5000000       2.85250e-20       2.85250e-20
 115.6000000       2.85800e-20       2.85800e-20
 115.7000000       2.86350e-20       2.86350e-20
 115.8000000       2.86900e-20       2.86900e-20
 115.9000000       2.87450e-20       2.87450e-20
 116.0000000       2.88000e-20       2.88000e-20
 116.1000000       2.88550e-20       2.88550e-20
 116.2000000       2.89100e-20       2.89100e-20
 116.3000000       2.89650e-20       2.89650e-20
 116.4000000       2.90200e-20       2.90200e-20
 116.5000000       2.90750e-20       2.90750e-20
 116.6000000       2.91300e-20       2.91300e-20
 116.7000000       2.91850e-20       2.91850e-20
 116.8000000       2.92400e-20       2.92400e-20
 116.9000000       2.92950e-20       2.92950e-20
 117.0000000       2.93500e-20       2.93500e-20
 117.1000000       2.94050e-20       2.94050e-20
 117.2000000       2.94600e-20       2.94600e-20
 117.3000000       2.95150e-20       2.95150e-20
 117.4000000       2.95700e-20       2.95700e-20
 117.5000000       2.96250e-20       2.96250e-20
 117.6000000       2.96800e-20       2.96800e-20
 117.7000000       2.97350e-20       2.97350e-20
 117.8000000       2.97900e-20       2.97900e-20
 117.9000000       2.98450e-20       2.98450e-20
 118.0000000       2.99000e-20       2.99000e-20
 118.1000000       2.99550e-20       2.99550e-20
 118.2000000       3.00100e-20       3.00100e-20
 118.3000000       3.00650e-20       3.00650e-20
 118.4000000       3.01200e-20       3.01200e-20
 118.5000000       3.01750e-20       3.01750e-20
 118.6000000       3.02300e-20       3.02300e-20
 118.7000000       3.02850e-20       3.02850e-20
 118.8000000       3.03400e-20       3.03400e-20
 118.9000000       3.03950e-20       3.03950e-20
 119.0000000       3.04500e-20       3.04500e-20
 119.1000000       3.05050e-20       3.05050e-20
 119.2000000       3.05600e-20       3.05600e-20
 119.3000000       3.06150e-20       3.06150e-20
 119.4000000       3.06700e-20       3.06700e-20
 119.5000000       3.07250e-20       3.07250e-20
 119.6000000       3.07800e-20       3.07800e-20
 119.7000000       3.08350e-20       3.08350e-20
 119.8000000       3.08900e-20       3.08900e-20
 119.9000000       3.09450e-20       3.09450e-20
 120.0000000       3.10988e-20       3.10988e-20
 120.1000000       3.18450e-20       3.18450e-20
 120.2000000       3.26900e-20       3.26900e-20
 120.3000000       3.35350e-20       3.35350e-20
 120.4000000       3.43800e-20       3.43800e-20
 120.5000000       3.52250e-20       3.52250e-20
 120.6000000       3.60700e-20       3.60700e-20
 120.7000000       3.69150e-20       3.69150e-20
 120.8000000       3.77600e-20       3.77600e-20
 120.9000000       3.86050e-20       3.86050e-20
 121.0000000       3.94500e-20       3.94500e-20
 121.1000000       4.02950e-20       4.02950e-20
 121.2000000       4.11400e-20       4.11400e-20
 121.3000000       4.19850e-20       4.19850e-20
 121.4000000       4.28300e-20       4.28300e-20
 121.5000000       4.36750e-20       4.36750e-20
 121.6000000       4.45200e-20       4.45200e-20
 121.7000000       4.53650e-20       4.53650e-20
 121.8000000       4.62100e-20       4.62100e-20
 121.9000000       4.70550e-20       4.70550e-20
 122.0000000       4.79000e-20       4.79000e-20
 122.1000000       4.87450e-20       4.87450e-20
 122.2000000       4.95900e-20       4.95900e-20
 122.3000000       5.04350e-20       5.04350e-20
 122.4000000       5.12800e-20       5.12800e-20
 122.5000000       5.21250e-20       5.21250e-20
 122.6000000       5.29700e-20       5.29700e-20
 122.7000000       5.38150e-20       5.38150e-20
 122.8000000       5.46600e-20       5.46600e-20
 122.9000000       5.55050e-20       5.55050e-20
 123.0000000       5.63500e-20       5.63500e-20
 123.1000000       5.71950e-20       5.71950e-20
 123.2000000       5.80400e-20       5.80400e-20
 123.3000000       5.88850e-20       5.88850e-20
 123.4000000       5.97300e-20       5.97300e-20
 123.5000000       6.05750e-20       6.05750e-20
 123.6000000       6.14200e-20       6.14200e-20
 123.7000000       6.22650e-20       6.22650e-20
 123.8000000       6.31100e-20       6.31100e-20
 123.9000000       6.39550e-20       6.39550e-20
 124.0000000       6.48000e-20       6.48000e-20
 124.1000000       6.56450e-20       6.56450e-20
 124.2000000       6.64900e-20       6.64900e-20
 124.3000000       6.73350e-20       6.73350e-20
 124.4000000       6.81800e-20       6.81800e-20
 124.5000000       6.90250e-20       6.90250e-20
 124.6000000       6.98700e-20       6.98700e-20
 124.7000000       7.07150e-20       7.07150e-20
 124.8000000       7.15600e-20       7.15600e-20
 124.9000000       7.24050e-20       7.24050e-20
 125.0000000       7.32500e-20       7.32500e-20
 125.1000000       7.40950e-20       7.40950e-20
 125.2000000       7.49400e-20       7.49400e-20
 125.3000000       7.57850e-20       7.57850e-20
 125.4000000       7.66300e-20       7.66300e-20
 125.5000000       7.74750e-20       7.74750e-20
 125.6000000       7.83200e-20       7.83200e-20
 125.7000000       7.91650e-20       7.91650e-20
 125.8000000       8.00100e-20       8.00100e-20
 125.9000000       8.08550e-20       8.08550e-20
 126.0000000       8.17000e-20       8.17000e-20
 126.1000000       8.25450e-20       8.25450e-20
 126.2000000       8.33900e-20       8.33900e-20
 126.3000000       8.42350e-20       8.42350e-20
 126.4000000       8.50800e-20       8.50800e-20
 126.5000000       8.59250e-20       8.59250e-20
 126.6000000       8.67700e-20       8.67700e-20
 126.7000000       8.76150e-20       8.76150e-20
 126.8000000       8.84600e-20       8.84600e-20
 126.9000000       8.93050e-20       8.93050e-20
 127.0000000       9.01500e-20       9.01500e-20
 127.1000000       9.09950e-20       9.09950e-20
 127.2000000       9.18400e-20       9.18400e-20
 127.3000000       9.26850e-20       9.26850e-20
 127.4000000       9.35300e-20       9.35300e-20
 127.5000000       9.43750e-20       9.43750e-20
 127.6000000       9.52200e-20       9.52200e-20
 127.7000000       9.60650e-20       9.60650e-20
 127.8000000       9.69100e-20       9.69100e-20
 127.9000000       9.77550e-20       9.77550e-20
 128.0000000       9.86000e-20       9.86000e-20
 128.1000000       9.94450e-20       9.94450e-20
 128.2000000       1.00290e-19       1.00290e-19
 128.3000000       1.01135e-19       1.01135e-19
 128.4000000       1.01980e-19       1.01980e-19
 128.5000000       1.02825e-19       1.02825e-19
 128.6000000       1.03670e-19       1.03670e-19
 128.7000000       1.04515e-19       1.04515e-19
 128.8000000       1.05360e-19       1.05360e-19
 128.9000000       1.06205e-19       1.06205e-19
 129.0000000       1.07050e-19       1.07050e-19
 129.1000000       1.07895e-19       1.07895e-19
 129.2000000       1.08740e-19       1.08740e-19
 129.3000000       1.09585e-19       1.09585e-19
 129.4000000       1.10430e-19       1.10430e-19
 129.5000000       1.11275e-19       1.11275e-19
 129.6000000       1.12120e-19       1.12120e-19
 129.7000000       1.12965e-19       1.12965e-19
 129.8000000       1.13810e-19       1.13810e-19
 129.9000000       1.14655e-19       1.14655e-19
 130.0000000       1.15500e-19       1.15500e-19
 130.1000000       1.16345e-19       1.16345e-19
 130.2000000       1.17190e-19       1.17190e-19
 130.3000000       1.18035e-19       1.18035e-19
 130.4000000       1.18880e-19       1.18880e-19
 130.5000000       1.19725e-19       1.19725e-19
 130.6000000       1.20570e-19       1.20570e-19
 130.7000000       1.21415e-19       1.21415e-19
 130.8000000       1.22260e-19       1.22260e-19
