# Na photoionisation cross section
# Alan Heays 2016-04-19
# Reference: huebner2015
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
   0.1000000       2.16064e-20       2.16064e-20
   0.2000000       3.56973e-20       3.56973e-20
   0.3000000       5.44852e-20       5.44852e-20
   0.4000000       7.32730e-20       7.32730e-20
   0.5000000       9.20608e-20       9.20608e-20
   0.6000000       1.10849e-19       1.10849e-19
   0.7000000       1.29636e-19       1.29636e-19
   0.8000000       1.48424e-19       1.48424e-19
   0.9000000       1.67212e-19       1.67212e-19
   1.0000000       1.88685e-19       1.88685e-19
   1.1000000       2.25151e-19       2.25151e-19
   1.2000000       2.70059e-20       2.70059e-20
   1.3000000       3.50176e-20       3.50176e-20
   1.4000000       4.30294e-20       4.30294e-20
   1.5000000       5.10412e-20       5.10412e-20
   1.6000000       5.90529e-20       5.90529e-20
   1.7000000       6.70647e-20       6.70647e-20
   1.8000000       7.50765e-20       7.50765e-20
   1.9000000       8.30882e-20       8.30882e-20
   2.0000000       9.20473e-20       9.20473e-20
   2.1000000       1.06690e-19       1.06690e-19
   2.2000000       1.22280e-19       1.22280e-19
   2.3000000       1.37870e-19       1.37870e-19
   2.4000000       1.53460e-19       1.53460e-19
   2.5000000       1.69050e-19       1.69050e-19
   2.6000000       1.84640e-19       1.84640e-19
   2.7000000       2.00230e-19       2.00230e-19
   2.8000000       2.15820e-19       2.15820e-19
   2.9000000       2.31410e-19       2.31410e-19
   3.0000000       2.48151e-19       2.48151e-19
   3.1000000       2.71800e-19       2.71800e-19
   3.2000000       2.96600e-19       2.96600e-19
   3.3000000       3.21400e-19       3.21400e-19
   3.4000000       3.46200e-19       3.46200e-19
   3.5000000       3.71000e-19       3.71000e-19
   3.6000000       3.95800e-19       3.95800e-19
   3.7000000       4.20600e-19       4.20600e-19
   3.8000000       4.45400e-19       4.45400e-19
   3.9000000       4.70200e-19       4.70200e-19
   4.0000000       4.96200e-19       4.96200e-19
   4.1000000       5.29400e-19       5.29400e-19
   4.2000000       5.63800e-19       5.63800e-19
   4.3000000       5.98200e-19       5.98200e-19
   4.4000000       6.32600e-19       6.32600e-19
   4.5000000       6.67000e-19       6.67000e-19
   4.6000000       7.01400e-19       7.01400e-19
   4.7000000       7.35800e-19       7.35800e-19
   4.8000000       7.70200e-19       7.70200e-19
   4.9000000       8.04600e-19       8.04600e-19
   5.0000000       8.40088e-19       8.40088e-19
   5.1000000       8.82100e-19       8.82100e-19
   5.2000000       9.25200e-19       9.25200e-19
   5.3000000       9.68300e-19       9.68300e-19
   5.4000000       1.01140e-18       1.01140e-18
   5.5000000       1.05450e-18       1.05450e-18
   5.6000000       1.09760e-18       1.09760e-18
   5.7000000       1.14070e-18       1.14070e-18
   5.8000000       1.18380e-18       1.18380e-18
