# Cross sections for Ni
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photoionisation source: Ni  PHOTOIONIZATION
# Lines represented with lorentzian of width 0.0005 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photoionisation:    cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  91.3000000       2.12008e-20       2.12008e-20
  91.4000000       2.19213e-20       2.19213e-20
  91.5000000       2.28820e-20       2.28820e-20
  91.6000000       2.38426e-20       2.38426e-20
  91.7000000       2.48033e-20       2.48033e-20
  91.8000000       2.57640e-20       2.57640e-20
  91.9000000       2.67246e-20       2.67246e-20
  92.0000000       2.76853e-20       2.76853e-20
  92.1000000       2.86459e-20       2.86459e-20
  92.2000000       2.96066e-20       2.96066e-20
  92.3000000       3.05672e-20       3.05672e-20
  92.4000000       3.15279e-20       3.15279e-20
  92.5000000       3.24886e-20       3.24886e-20
  92.6000000       3.34492e-20       3.34492e-20
  92.7000000       3.44099e-20       3.44099e-20
  92.8000000       3.53705e-20       3.53705e-20
  92.9000000       3.63312e-20       3.63312e-20
  93.0000000       3.72919e-20       3.72919e-20
  93.1000000       3.82525e-20       3.82525e-20
  93.2000000       3.92132e-20       3.92132e-20
  93.3000000       4.01738e-20       4.01738e-20
  93.4000000       4.11345e-20       4.11345e-20
  93.5000000       4.20952e-20       4.20952e-20
  93.6000000       4.30558e-20       4.30558e-20
  93.7000000       4.40165e-20       4.40165e-20
  93.8000000       4.49771e-20       4.49771e-20
  93.9000000       4.59378e-20       4.59378e-20
  94.0000000       4.68984e-20       4.68984e-20
  94.1000000       4.78591e-20       4.78591e-20
  94.2000000       4.88198e-20       4.88198e-20
  94.3000000       4.97804e-20       4.97804e-20
  94.4000000       5.07411e-20       5.07411e-20
  94.5000000       5.17017e-20       5.17017e-20
  94.6000000       5.26624e-20       5.26624e-20
  94.7000000       5.36231e-20       5.36231e-20
  94.8000000       5.45837e-20       5.45837e-20
  94.9000000       5.55444e-20       5.55444e-20
  95.0000000       5.65050e-20       5.65050e-20
  95.1000000       5.74657e-20       5.74657e-20
  95.2000000       5.84263e-20       5.84263e-20
  95.3000000       5.93870e-20       5.93870e-20
  95.4000000       6.03477e-20       6.03477e-20
  95.5000000       6.13083e-20       6.13083e-20
  95.6000000       6.22690e-20       6.22690e-20
  95.7000000       6.32296e-20       6.32296e-20
  95.8000000       6.41903e-20       6.41903e-20
  95.9000000       6.51510e-20       6.51510e-20
  96.0000000       6.61116e-20       6.61116e-20
  96.1000000       6.70723e-20       6.70723e-20
  96.2000000       6.80329e-20       6.80329e-20
  96.3000000       6.89936e-20       6.89936e-20
  96.4000000       6.99543e-20       6.99543e-20
  96.5000000       7.09149e-20       7.09149e-20
  96.6000000       7.18756e-20       7.18756e-20
  96.7000000       7.28362e-20       7.28362e-20
  96.8000000       7.37969e-20       7.37969e-20
  96.9000000       7.47575e-20       7.47575e-20
  97.0000000       7.57182e-20       7.57182e-20
  97.1000000       7.66789e-20       7.66789e-20
  97.2000000       7.76395e-20       7.76395e-20
  97.3000000       7.86002e-20       7.86002e-20
  97.4000000       7.95608e-20       7.95608e-20
  97.5000000       8.05215e-20       8.05215e-20
  97.6000000       8.14822e-20       8.14822e-20
  97.7000000       8.24428e-20       8.24428e-20
  97.8000000       8.34035e-20       8.34035e-20
  97.9000000       8.43641e-20       8.43641e-20
  98.0000000       8.53248e-20       8.53248e-20
  98.1000000       8.62855e-20       8.62855e-20
  98.2000000       8.72461e-20       8.72461e-20
  98.3000000       8.82068e-20       8.82068e-20
  98.4000000       8.91674e-20       8.91674e-20
  98.5000000       9.01281e-20       9.01281e-20
  98.6000000       9.10887e-20       9.10887e-20
  98.7000000       9.20494e-20       9.20494e-20
  98.8000000       9.30101e-20       9.30101e-20
  98.9000000       9.39707e-20       9.39707e-20
  99.0000000       9.49314e-20       9.49314e-20
  99.1000000       9.58920e-20       9.58920e-20
  99.2000000       9.68527e-20       9.68527e-20
  99.3000000       9.78134e-20       9.78134e-20
  99.4000000       9.87740e-20       9.87740e-20
  99.5000000       9.97347e-20       9.97347e-20
  99.6000000       1.00695e-19       1.00695e-19
  99.7000000       1.01656e-19       1.01656e-19
  99.8000000       1.02617e-19       1.02617e-19
  99.9000000       1.03577e-19       1.03577e-19
 100.0000000       1.04538e-19       1.04538e-19
 100.1000000       1.05499e-19       1.05499e-19
 100.2000000       1.06459e-19       1.06459e-19
 100.3000000       1.07420e-19       1.07420e-19
 100.4000000       1.08381e-19       1.08381e-19
 100.5000000       1.09341e-19       1.09341e-19
 100.6000000       1.10302e-19       1.10302e-19
 100.7000000       1.11263e-19       1.11263e-19
 100.8000000       1.12223e-19       1.12223e-19
 100.9000000       1.13184e-19       1.13184e-19
 101.0000000       1.14145e-19       1.14145e-19
 101.1000000       1.15105e-19       1.15105e-19
 101.2000000       1.16066e-19       1.16066e-19
 101.3000000       1.17027e-19       1.17027e-19
 101.4000000       1.17987e-19       1.17987e-19
 101.5000000       1.18948e-19       1.18948e-19
 101.6000000       1.19909e-19       1.19909e-19
 101.7000000       1.20869e-19       1.20869e-19
 101.8000000       1.21830e-19       1.21830e-19
 101.9000000       1.22790e-19       1.22790e-19
 102.0000000       1.23751e-19       1.23751e-19
 102.1000000       1.24712e-19       1.24712e-19
 102.2000000       1.25672e-19       1.25672e-19
 102.3000000       1.26633e-19       1.26633e-19
 102.4000000       1.27594e-19       1.27594e-19
 102.5000000       1.28554e-19       1.28554e-19
 102.6000000       1.29515e-19       1.29515e-19
 102.7000000       1.30476e-19       1.30476e-19
 102.8000000       1.31436e-19       1.31436e-19
 102.9000000       1.32397e-19       1.32397e-19
 103.0000000       1.33358e-19       1.33358e-19
 103.1000000       1.34318e-19       1.34318e-19
 103.2000000       1.35279e-19       1.35279e-19
 103.3000000       1.36240e-19       1.36240e-19
 103.4000000       1.37200e-19       1.37200e-19
 103.5000000       1.38161e-19       1.38161e-19
 103.6000000       1.39122e-19       1.39122e-19
 103.7000000       1.40082e-19       1.40082e-19
 103.8000000       1.41043e-19       1.41043e-19
 103.9000000       1.42004e-19       1.42004e-19
 104.0000000       1.42964e-19       1.42964e-19
 104.1000000       1.43925e-19       1.43925e-19
 104.2000000       1.44886e-19       1.44886e-19
 104.3000000       1.45846e-19       1.45846e-19
 104.4000000       1.46807e-19       1.46807e-19
 104.5000000       1.47768e-19       1.47768e-19
 104.6000000       1.48728e-19       1.48728e-19
 104.7000000       1.49689e-19       1.49689e-19
 104.8000000       1.50650e-19       1.50650e-19
 104.9000000       1.51610e-19       1.51610e-19
 105.0000000       1.52571e-19       1.52571e-19
 105.1000000       1.53532e-19       1.53532e-19
 105.2000000       1.54492e-19       1.54492e-19
 105.3000000       1.55453e-19       1.55453e-19
 105.4000000       1.56414e-19       1.56414e-19
 105.5000000       1.57374e-19       1.57374e-19
 105.6000000       1.58335e-19       1.58335e-19
 105.7000000       1.59296e-19       1.59296e-19
 105.8000000       1.60256e-19       1.60256e-19
 105.9000000       1.61217e-19       1.61217e-19
 106.0000000       1.62177e-19       1.62177e-19
 106.1000000       1.63138e-19       1.63138e-19
 106.2000000       1.64099e-19       1.64099e-19
 106.3000000       1.65059e-19       1.65059e-19
 106.4000000       1.66020e-19       1.66020e-19
 106.5000000       1.66981e-19       1.66981e-19
 106.6000000       1.67941e-19       1.67941e-19
 106.7000000       1.68902e-19       1.68902e-19
 106.8000000       1.69863e-19       1.69863e-19
 106.9000000       1.70823e-19       1.70823e-19
 107.0000000       1.71784e-19       1.71784e-19
 107.1000000       1.72745e-19       1.72745e-19
 107.2000000       1.73705e-19       1.73705e-19
 107.3000000       1.74666e-19       1.74666e-19
 107.4000000       1.75627e-19       1.75627e-19
 107.5000000       1.76587e-19       1.76587e-19
 107.6000000       1.77548e-19       1.77548e-19
 107.7000000       1.78509e-19       1.78509e-19
 107.8000000       1.79469e-19       1.79469e-19
 107.9000000       1.80430e-19       1.80430e-19
 108.0000000       1.81391e-19       1.81391e-19
 108.1000000       1.82351e-19       1.82351e-19
 108.2000000       1.83312e-19       1.83312e-19
 108.3000000       1.84273e-19       1.84273e-19
 108.4000000       1.85233e-19       1.85233e-19
 108.5000000       1.86194e-19       1.86194e-19
 108.6000000       1.87155e-19       1.87155e-19
 108.7000000       1.88115e-19       1.88115e-19
 108.8000000       1.89076e-19       1.89076e-19
 108.9000000       1.90037e-19       1.90037e-19
 109.0000000       1.90997e-19       1.90997e-19
 109.1000000       1.91958e-19       1.91958e-19
 109.2000000       1.92919e-19       1.92919e-19
 109.3000000       1.93879e-19       1.93879e-19
 109.4000000       1.94840e-19       1.94840e-19
 109.5000000       1.95801e-19       1.95801e-19
 109.6000000       1.96761e-19       1.96761e-19
 109.7000000       1.97722e-19       1.97722e-19
 109.8000000       1.98683e-19       1.98683e-19
 109.9000000       1.99643e-19       1.99643e-19
 110.0000000       2.00604e-19       2.00604e-19
 110.1000000       2.01565e-19       2.01565e-19
 110.2000000       2.02525e-19       2.02525e-19
 110.3000000       2.03486e-19       2.03486e-19
 110.4000000       2.04446e-19       2.04446e-19
 110.5000000       2.05407e-19       2.05407e-19
 110.6000000       2.06368e-19       2.06368e-19
 110.7000000       2.07328e-19       2.07328e-19
 110.8000000       2.08289e-19       2.08289e-19
 110.9000000       2.09250e-19       2.09250e-19
 111.0000000       2.10210e-19       2.10210e-19
 111.1000000       2.11171e-19       2.11171e-19
 111.2000000       2.12132e-19       2.12132e-19
 111.3000000       2.13092e-19       2.13092e-19
 111.4000000       2.14053e-19       2.14053e-19
 111.5000000       2.15014e-19       2.15014e-19
 111.6000000       2.15974e-19       2.15974e-19
 111.7000000       2.16935e-19       2.16935e-19
 111.8000000       2.17896e-19       2.17896e-19
 111.9000000       2.18856e-19       2.18856e-19
