# P photoionisation cross section
# Alan Heays 2016-04-19
# Reference: tayal2004
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  62.1000000       8.22271e-18       8.22271e-18
  62.2000000       7.97927e-18       7.97927e-18
  62.3000000       8.17680e-18       8.17680e-18
  62.4000000       8.49401e-18       8.49401e-18
  62.5000000       8.51367e-18       8.51367e-18
  62.6000000       8.48695e-18       8.48695e-18
  62.7000000       8.90819e-18       8.90819e-18
  62.8000000       9.04726e-18       9.04726e-18
  62.9000000       8.32905e-18       8.32905e-18
  63.0000000       9.28489e-18       9.28489e-18
  63.1000000       9.38398e-18       9.38398e-18
  63.2000000       8.85078e-18       8.85078e-18
  63.3000000       8.88831e-18       8.88831e-18
  63.4000000       9.70956e-18       9.70956e-18
  63.5000000       9.82517e-18       9.82517e-18
  63.6000000       9.90922e-18       9.90922e-18
  63.7000000       9.95958e-18       9.95958e-18
  63.8000000       9.64892e-18       9.64892e-18
  63.9000000       8.53501e-18       8.53501e-18
  64.0000000       1.03270e-17       1.03270e-17
  64.1000000       1.04974e-17       1.04974e-17
  64.2000000       1.05990e-17       1.05990e-17
  64.3000000       1.06942e-17       1.06942e-17
  64.4000000       1.07770e-17       1.07770e-17
  64.5000000       1.08510e-17       1.08510e-17
  64.6000000       1.09191e-17       1.09191e-17
  64.7000000       1.09288e-17       1.09288e-17
  64.8000000       1.08849e-17       1.08849e-17
  64.9000000       1.04450e-17       1.04450e-17
  65.0000000       8.75843e-18       8.75843e-18
  65.1000000       1.13321e-17       1.13321e-17
  65.2000000       1.18566e-17       1.18566e-17
  65.3000000       1.19605e-17       1.19605e-17
  65.4000000       1.20425e-17       1.20425e-17
  65.5000000       1.21306e-17       1.21306e-17
  65.6000000       1.22260e-17       1.22260e-17
  65.7000000       1.23319e-17       1.23319e-17
  65.8000000       1.24279e-17       1.24279e-17
  65.9000000       1.25390e-17       1.25390e-17
  66.0000000       1.26557e-17       1.26557e-17
  66.1000000       1.27930e-17       1.27930e-17
  66.2000000       1.29457e-17       1.29457e-17
  66.3000000       1.31417e-17       1.31417e-17
  66.4000000       1.33845e-17       1.33845e-17
  66.5000000       1.25523e-17       1.25523e-17
  66.6000000       1.18131e-17       1.18131e-17
  66.7000000       1.24120e-17       1.24120e-17
  66.8000000       1.30116e-17       1.30116e-17
  66.9000000       1.36112e-17       1.36112e-17
  67.0000000       1.42108e-17       1.42108e-17
  67.1000000       1.48105e-17       1.48105e-17
  67.2000000       1.49512e-17       1.49512e-17
  67.3000000       1.43769e-17       1.43769e-17
  67.4000000       1.43863e-17       1.43863e-17
  67.5000000       1.41372e-17       1.41372e-17
  67.6000000       1.44673e-17       1.44673e-17
  67.7000000       1.43943e-17       1.43943e-17
  67.8000000       1.44697e-17       1.44697e-17
  67.9000000       1.47042e-17       1.47042e-17
  68.0000000       1.46764e-17       1.46764e-17
  68.1000000       1.47879e-17       1.47879e-17
  68.2000000       1.44432e-17       1.44432e-17
  68.3000000       1.51247e-17       1.51247e-17
  68.4000000       1.52119e-17       1.52119e-17
  68.5000000       1.52912e-17       1.52912e-17
  68.6000000       1.53049e-17       1.53049e-17
  68.7000000       1.54840e-17       1.54840e-17
  68.8000000       1.54453e-17       1.54453e-17
  68.9000000       1.50483e-17       1.50483e-17
  69.0000000       1.56166e-17       1.56166e-17
  69.1000000       1.59573e-17       1.59573e-17
  69.2000000       1.60586e-17       1.60586e-17
  69.3000000       1.61530e-17       1.61530e-17
  69.4000000       1.62449e-17       1.62449e-17
  69.5000000       1.63408e-17       1.63408e-17
  69.6000000       1.64378e-17       1.64378e-17
  69.7000000       1.65182e-17       1.65182e-17
  69.8000000       1.65957e-17       1.65957e-17
  69.9000000       1.66974e-17       1.66974e-17
  70.0000000       1.67248e-17       1.67248e-17
  70.1000000       1.67414e-17       1.67414e-17
  70.2000000       1.65989e-17       1.65989e-17
  70.3000000       1.61391e-17       1.61391e-17
  70.4000000       1.69167e-17       1.69167e-17
  70.5000000       1.74981e-17       1.74981e-17
  70.6000000       1.76228e-17       1.76228e-17
  70.7000000       1.77315e-17       1.77315e-17
  70.8000000       1.78273e-17       1.78273e-17
  70.9000000       1.79226e-17       1.79226e-17
  71.0000000       1.80304e-17       1.80304e-17
  71.1000000       1.81260e-17       1.81260e-17
  71.2000000       1.82306e-17       1.82306e-17
  71.3000000       1.83324e-17       1.83324e-17
  71.4000000       1.84392e-17       1.84392e-17
  71.5000000       1.85423e-17       1.85423e-17
  71.6000000       1.86439e-17       1.86439e-17
  71.7000000       1.87502e-17       1.87502e-17
  71.8000000       1.88473e-17       1.88473e-17
  71.9000000       1.89444e-17       1.89444e-17
  72.0000000       1.90372e-17       1.90372e-17
  72.1000000       1.91421e-17       1.91421e-17
  72.2000000       1.92344e-17       1.92344e-17
  72.3000000       1.93248e-17       1.93248e-17
  72.4000000       1.94130e-17       1.94130e-17
  72.5000000       1.94889e-17       1.94889e-17
  72.6000000       1.95588e-17       1.95588e-17
  72.7000000       1.95968e-17       1.95968e-17
  72.8000000       1.95738e-17       1.95738e-17
  72.9000000       1.94168e-17       1.94168e-17
  73.0000000       1.88033e-17       1.88033e-17
  73.1000000       1.86563e-17       1.86563e-17
  73.2000000       2.05076e-17       2.05076e-17
  73.3000000       2.08409e-17       2.08409e-17
  73.4000000       2.09298e-17       2.09298e-17
  73.5000000       2.10109e-17       2.10109e-17
  73.6000000       2.10866e-17       2.10866e-17
  73.7000000       2.11846e-17       2.11846e-17
  73.8000000       2.12797e-17       2.12797e-17
  73.9000000       2.13769e-17       2.13769e-17
  74.0000000       2.14710e-17       2.14710e-17
  74.1000000       2.15767e-17       2.15767e-17
  74.2000000       2.16839e-17       2.16839e-17
  74.3000000       2.17861e-17       2.17861e-17
  74.4000000       2.18891e-17       2.18891e-17
  74.5000000       2.19971e-17       2.19971e-17
  74.6000000       2.21107e-17       2.21107e-17
  74.7000000       2.22169e-17       2.22169e-17
  74.8000000       2.23289e-17       2.23289e-17
  74.9000000       2.24385e-17       2.24385e-17
  75.0000000       2.25513e-17       2.25513e-17
  75.1000000       2.26610e-17       2.26610e-17
  75.2000000       2.27875e-17       2.27875e-17
  75.3000000       2.28744e-17       2.28744e-17
  75.4000000       2.29959e-17       2.29959e-17
  75.5000000       2.31137e-17       2.31137e-17
  75.6000000       2.32248e-17       2.32248e-17
  75.7000000       2.33295e-17       2.33295e-17
  75.8000000       2.34354e-17       2.34354e-17
  75.9000000       2.35604e-17       2.35604e-17
  76.0000000       2.36747e-17       2.36747e-17
  76.1000000       2.37873e-17       2.37873e-17
  76.2000000       2.39041e-17       2.39041e-17
  76.3000000       2.40101e-17       2.40101e-17
  76.4000000       2.41271e-17       2.41271e-17
  76.5000000       2.41225e-17       2.41225e-17
  76.6000000       2.22358e-17       2.22358e-17
  76.7000000       2.54621e-17       2.54621e-17
  76.8000000       2.15783e-17       2.15783e-17
  76.9000000       2.21102e-17       2.21102e-17
  77.0000000       1.76417e-17       1.76417e-17
  77.1000000       2.32463e-17       2.32463e-17
  77.2000000       2.17192e-17       2.17192e-17
  77.3000000       2.67853e-17       2.67853e-17
  77.4000000       2.07099e-17       2.07099e-17
  77.5000000       2.47626e-17       2.47626e-17
  77.6000000       2.43438e-17       2.43438e-17
  77.7000000       3.00975e-17       3.00975e-17
  77.8000000       1.84471e-17       1.84471e-17
  77.9000000       2.65439e-17       2.65439e-17
  78.0000000       2.96947e-17       2.96947e-17
  78.1000000       3.09327e-17       3.09327e-17
  78.2000000       1.58570e-17       1.58570e-17
  78.3000000       2.53502e-17       2.53502e-17
  78.4000000       2.85550e-17       2.85550e-17
  78.5000000       3.01989e-17       3.01989e-17
  78.6000000       3.19170e-17       3.19170e-17
  78.7000000       3.25278e-17       3.25278e-17
  78.8000000       1.20120e-17       1.20120e-17
  78.9000000       2.06350e-17       2.06350e-17
  79.0000000       2.65395e-17       2.65395e-17
  79.1000000       2.84281e-17       2.84281e-17
  79.2000000       2.98628e-17       2.98628e-17
  79.3000000       3.08419e-17       3.08419e-17
  79.4000000       3.17650e-17       3.17650e-17
  79.5000000       3.27927e-17       3.27927e-17
  79.6000000       3.37897e-17       3.37897e-17
  79.7000000       3.43678e-17       3.43678e-17
  79.8000000       2.98351e-17       2.98351e-17
  79.9000000       6.50886e-18       6.50886e-18
  80.0000000       1.60341e-17       1.60341e-17
  80.1000000       2.36847e-17       2.36847e-17
  80.2000000       2.65729e-17       2.65729e-17
  80.3000000       2.85786e-17       2.85786e-17
  80.4000000       2.97862e-17       2.97862e-17
  80.5000000       3.07237e-17       3.07237e-17
  80.6000000       3.13827e-17       3.13827e-17
  80.7000000       3.20139e-17       3.20139e-17
  80.8000000       3.25838e-17       3.25838e-17
  80.9000000       3.31662e-17       3.31662e-17
  81.0000000       3.36708e-17       3.36708e-17
  81.1000000       3.41924e-17       3.41924e-17
  81.2000000       3.46637e-17       3.46637e-17
  81.3000000       3.51851e-17       3.51851e-17
  81.4000000       3.57089e-17       3.57089e-17
  81.5000000       3.61457e-17       3.61457e-17
  81.6000000       3.65597e-17       3.65597e-17
  81.7000000       3.67674e-17       3.67674e-17
  81.8000000       3.64347e-17       3.64347e-17
  81.9000000       3.45050e-17       3.45050e-17
  82.0000000       2.84817e-17       2.84817e-17
  82.1000000       1.61700e-17       1.61700e-17
  82.2000000       4.39719e-18       4.39719e-18
  82.3000000       8.65385e-18       8.65385e-18
  82.4000000       1.62079e-17       1.62079e-17
  82.5000000       2.19235e-17       2.19235e-17
  82.6000000       2.51576e-17       2.51576e-17
  82.7000000       2.73068e-17       2.73068e-17
  82.8000000       2.89980e-17       2.89980e-17
  82.9000000       3.03828e-17       3.03828e-17
  83.0000000       3.13496e-17       3.13496e-17
  83.1000000       3.21789e-17       3.21789e-17
  83.2000000       3.28496e-17       3.28496e-17
  83.3000000       3.34479e-17       3.34479e-17
  83.4000000       3.39851e-17       3.39851e-17
  83.5000000       3.45047e-17       3.45047e-17
  83.6000000       3.49425e-17       3.49425e-17
  83.7000000       3.53350e-17       3.53350e-17
  83.8000000       3.57261e-17       3.57261e-17
  83.9000000       3.61089e-17       3.61089e-17
  84.0000000       3.64495e-17       3.64495e-17
  84.1000000       3.67783e-17       3.67783e-17
  84.2000000       3.70712e-17       3.70712e-17
  84.3000000       3.73613e-17       3.73613e-17
  84.4000000       3.76515e-17       3.76515e-17
  84.5000000       3.79399e-17       3.79399e-17
  84.6000000       3.82279e-17       3.82279e-17
  84.7000000       3.85089e-17       3.85089e-17
  84.8000000       3.87588e-17       3.87588e-17
  84.9000000       3.90082e-17       3.90082e-17
  85.0000000       3.92516e-17       3.92516e-17
  85.1000000       3.94727e-17       3.94727e-17
  85.2000000       3.97099e-17       3.97099e-17
  85.3000000       3.99399e-17       3.99399e-17
  85.4000000       4.01620e-17       4.01620e-17
  85.5000000       4.03939e-17       4.03939e-17
  85.6000000       4.06017e-17       4.06017e-17
  85.7000000       4.07907e-17       4.07907e-17
  85.8000000       4.09693e-17       4.09693e-17
  85.9000000       4.11629e-17       4.11629e-17
  86.0000000       4.13596e-17       4.13596e-17
  86.1000000       4.15301e-17       4.15301e-17
  86.2000000       4.16846e-17       4.16846e-17
  86.3000000       4.18159e-17       4.18159e-17
  86.4000000       4.19337e-17       4.19337e-17
  86.5000000       4.20405e-17       4.20405e-17
  86.6000000       4.21105e-17       4.21105e-17
  86.7000000       4.21400e-17       4.21400e-17
  86.8000000       4.21336e-17       4.21336e-17
