# Cross sections for Rb
# Converted from earlier Leiden database cross sections by Alan Heays 2016-02-24
# Photoionisation source: Rb  PHOTOIONIZATION
# Lines represented with lorentzian of width 0.0005 nm FWHM
# wavelength: (nm)
# photoabsorption:    cross section (cm2)
# photoionisation:    cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  91.3000000       1.71901e-19       1.71901e-19
  91.4000000       1.71841e-19       1.71841e-19
  91.5000000       1.71761e-19       1.71761e-19
  91.6000000       1.71682e-19       1.71682e-19
  91.7000000       1.71602e-19       1.71602e-19
  91.8000000       1.71523e-19       1.71523e-19
  91.9000000       1.71443e-19       1.71443e-19
  92.0000000       1.71364e-19       1.71364e-19
  92.1000000       1.71284e-19       1.71284e-19
  92.2000000       1.71205e-19       1.71205e-19
  92.3000000       1.71125e-19       1.71125e-19
  92.4000000       1.71045e-19       1.71045e-19
  92.5000000       1.70966e-19       1.70966e-19
  92.6000000       1.70886e-19       1.70886e-19
  92.7000000       1.70807e-19       1.70807e-19
  92.8000000       1.70727e-19       1.70727e-19
  92.9000000       1.70648e-19       1.70648e-19
  93.0000000       1.70568e-19       1.70568e-19
  93.1000000       1.70489e-19       1.70489e-19
  93.2000000       1.70409e-19       1.70409e-19
  93.3000000       1.70330e-19       1.70330e-19
  93.4000000       1.70250e-19       1.70250e-19
  93.5000000       1.70170e-19       1.70170e-19
  93.6000000       1.70091e-19       1.70091e-19
  93.7000000       1.70011e-19       1.70011e-19
  93.8000000       1.69932e-19       1.69932e-19
  93.9000000       1.69852e-19       1.69852e-19
  94.0000000       1.69773e-19       1.69773e-19
  94.1000000       1.69693e-19       1.69693e-19
  94.2000000       1.69614e-19       1.69614e-19
  94.3000000       1.69534e-19       1.69534e-19
  94.4000000       1.69455e-19       1.69455e-19
  94.5000000       1.69375e-19       1.69375e-19
  94.6000000       1.69295e-19       1.69295e-19
  94.7000000       1.69216e-19       1.69216e-19
  94.8000000       1.69136e-19       1.69136e-19
  94.9000000       1.69057e-19       1.69057e-19
  95.0000000       1.68977e-19       1.68977e-19
  95.1000000       1.68898e-19       1.68898e-19
  95.2000000       1.68818e-19       1.68818e-19
  95.3000000       1.68739e-19       1.68739e-19
  95.4000000       1.68659e-19       1.68659e-19
  95.5000000       1.68580e-19       1.68580e-19
  95.6000000       1.68500e-19       1.68500e-19
  95.7000000       1.68420e-19       1.68420e-19
  95.8000000       1.68341e-19       1.68341e-19
  95.9000000       1.68261e-19       1.68261e-19
  96.0000000       1.68182e-19       1.68182e-19
  96.1000000       1.68102e-19       1.68102e-19
  96.2000000       1.68023e-19       1.68023e-19
  96.3000000       1.67943e-19       1.67943e-19
  96.4000000       1.67864e-19       1.67864e-19
  96.5000000       1.67784e-19       1.67784e-19
  96.6000000       1.67705e-19       1.67705e-19
  96.7000000       1.67625e-19       1.67625e-19
  96.8000000       1.67545e-19       1.67545e-19
  96.9000000       1.67466e-19       1.67466e-19
  97.0000000       1.67386e-19       1.67386e-19
  97.1000000       1.67307e-19       1.67307e-19
  97.2000000       1.67227e-19       1.67227e-19
  97.3000000       1.67148e-19       1.67148e-19
  97.4000000       1.67068e-19       1.67068e-19
  97.5000000       1.66989e-19       1.66989e-19
  97.6000000       1.66909e-19       1.66909e-19
  97.7000000       1.66830e-19       1.66830e-19
  97.8000000       1.66750e-19       1.66750e-19
  97.9000000       1.66670e-19       1.66670e-19
  98.0000000       1.66591e-19       1.66591e-19
  98.1000000       1.66511e-19       1.66511e-19
  98.2000000       1.66432e-19       1.66432e-19
  98.3000000       1.66352e-19       1.66352e-19
  98.4000000       1.66273e-19       1.66273e-19
  98.5000000       1.66193e-19       1.66193e-19
  98.6000000       1.66114e-19       1.66114e-19
  98.7000000       1.66034e-19       1.66034e-19
  98.8000000       1.65955e-19       1.65955e-19
  98.9000000       1.65875e-19       1.65875e-19
  99.0000000       1.65795e-19       1.65795e-19
  99.1000000       1.65716e-19       1.65716e-19
  99.2000000       1.65636e-19       1.65636e-19
  99.3000000       1.65557e-19       1.65557e-19
  99.4000000       1.65477e-19       1.65477e-19
  99.5000000       1.65398e-19       1.65398e-19
  99.6000000       1.65318e-19       1.65318e-19
  99.7000000       1.65239e-19       1.65239e-19
  99.8000000       1.65159e-19       1.65159e-19
  99.9000000       1.65080e-19       1.65080e-19
 100.0000000       1.64998e-19       1.64998e-19
 100.1000000       1.64902e-19       1.64902e-19
 100.2000000       1.64804e-19       1.64804e-19
 100.3000000       1.64706e-19       1.64706e-19
 100.4000000       1.64608e-19       1.64608e-19
 100.5000000       1.64510e-19       1.64510e-19
 100.6000000       1.64413e-19       1.64413e-19
 100.7000000       1.64315e-19       1.64315e-19
