# S photoionisation cross section
# From the Leiden database for photodissociation and photoionization of astrophysically relevant molecules, http://home.strw.leidenuniv.nl/~ewine/photo/
# File last modified by Alan Heays 2017-03-01
# references: barthel2015 10.1103/PhysRevA.91.013406, gibson1986 http://stacks.iop.org/0022-3700/19/i=18/a=013,
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  41.4000000       5.24545e-18       5.24545e-18
  41.5000000       5.54787e-18       5.54787e-18
  41.6000000       5.85787e-18       5.85787e-18
  41.7000000       5.90612e-18       5.90612e-18
  41.8000000       5.34738e-18       5.34738e-18
  41.9000000       4.52175e-18       4.52175e-18
  42.0000000       4.68238e-18       4.68238e-18
  42.1000000       5.04648e-18       5.04648e-18
  42.2000000       5.07286e-18       5.07286e-18
  42.3000000       5.97931e-18       5.97931e-18
  42.4000000       6.95408e-18       6.95408e-18
  42.5000000       6.00430e-18       6.00430e-18
  42.6000000       4.68420e-18       4.68420e-18
  42.7000000       4.67135e-18       4.67135e-18
  42.8000000       4.79673e-18       4.79673e-18
  42.9000000       4.75132e-18       4.75132e-18
  43.0000000       5.51569e-18       5.51569e-18
  43.1000000       5.85282e-18       5.85282e-18
  43.2000000       5.09141e-18       5.09141e-18
  43.3000000       4.25852e-18       4.25852e-18
  43.4000000       4.25428e-18       4.25428e-18
  43.5000000       4.59803e-18       4.59803e-18
  43.6000000       5.06466e-18       5.06466e-18
  43.7000000       5.40992e-18       5.40992e-18
  43.8000000       5.84199e-18       5.84199e-18
  43.9000000       6.49414e-18       6.49414e-18
  44.0000000       6.76102e-18       6.76102e-18
  44.1000000       6.98479e-18       6.98479e-18
  44.2000000       7.61591e-18       7.61591e-18
  44.3000000       8.12528e-18       8.12528e-18
  44.4000000       8.19285e-18       8.19285e-18
  44.5000000       6.85870e-18       6.85870e-18
  44.6000000       5.32616e-18       5.32616e-18
  44.7000000       5.45309e-18       5.45309e-18
  44.8000000       6.33693e-18       6.33693e-18
  44.9000000       7.25282e-18       7.25282e-18
  45.0000000       7.00907e-18       7.00907e-18
  45.1000000       5.22644e-18       5.22644e-18
  45.2000000       3.97862e-18       3.97862e-18
  45.3000000       3.72148e-18       3.72148e-18
  45.4000000       3.78487e-18       3.78487e-18
  45.5000000       4.25613e-18       4.25613e-18
  45.6000000       3.86286e-18       3.86286e-18
  45.7000000       3.38831e-18       3.38831e-18
  45.8000000       3.80142e-18       3.80142e-18
  45.9000000       4.58325e-18       4.58325e-18
  46.0000000       5.70042e-18       5.70042e-18
  46.1000000       6.70690e-18       6.70690e-18
  46.2000000       7.80445e-18       7.80445e-18
  46.3000000       7.84668e-18       7.84668e-18
  46.4000000       6.05176e-18       6.05176e-18
  46.5000000       3.91407e-18       3.91407e-18
  46.6000000       3.30906e-18       3.30906e-18
  46.7000000       3.42882e-18       3.42882e-18
  46.8000000       3.70250e-18       3.70250e-18
  46.9000000       4.02902e-18       4.02902e-18
  47.0000000       4.40095e-18       4.40095e-18
  47.1000000       4.79338e-18       4.79338e-18
  47.2000000       5.33681e-18       5.33681e-18
  47.3000000       5.87485e-18       5.87485e-18
  47.4000000       6.20801e-18       6.20801e-18
  47.5000000       6.60960e-18       6.60960e-18
  47.6000000       7.28746e-18       7.28746e-18
  47.7000000       7.47055e-18       7.47055e-18
  47.8000000       7.01682e-18       7.01682e-18
  47.9000000       6.78913e-18       6.78913e-18
  48.0000000       6.81300e-18       6.81300e-18
  48.1000000       7.94259e-18       7.94259e-18
  48.2000000       9.35956e-18       9.35956e-18
  48.3000000       1.12053e-17       1.12053e-17
  48.4000000       1.34702e-17       1.34702e-17
  48.5000000       1.35890e-17       1.35890e-17
  48.6000000       1.04271e-17       1.04271e-17
  48.7000000       6.96770e-18       6.96770e-18
  48.8000000       4.44777e-18       4.44777e-18
  48.9000000       3.67018e-18       3.67018e-18
  49.0000000       3.29727e-18       3.29727e-18
  49.1000000       3.32016e-18       3.32016e-18
  49.2000000       3.41121e-18       3.41121e-18
  49.3000000       3.63414e-18       3.63414e-18
