# Si photoionisation cross section
# Alan Heays 2016-04-19
# Reference: mendoza1996, huebner2015
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
  14.0000000       1.52835e-20       1.52835e-20
  14.1000000       1.55285e-20       1.55285e-20
  14.2000000       1.58558e-20       1.58558e-20
  14.3000000       1.61956e-20       1.61956e-20
  14.4000000       1.65401e-20       1.65401e-20
  14.5000000       1.68856e-20       1.68856e-20
  14.6000000       1.72413e-20       1.72413e-20
  14.7000000       1.75996e-20       1.75996e-20
  14.8000000       1.79592e-20       1.79592e-20
  14.9000000       1.83286e-20       1.83286e-20
  15.0000000       1.86999e-20       1.86999e-20
  15.1000000       1.90728e-20       1.90728e-20
  15.2000000       1.94575e-20       1.94575e-20
  15.3000000       1.98442e-20       1.98442e-20
  15.4000000       2.02323e-20       2.02323e-20
  15.5000000       2.06314e-20       2.06314e-20
  15.6000000       2.10330e-20       2.10330e-20
  15.7000000       2.14354e-20       2.14354e-20
  15.8000000       2.18501e-20       2.18501e-20
  15.9000000       2.22690e-20       2.22690e-20
  16.0000000       2.26881e-20       2.26881e-20
  16.1000000       2.31172e-20       2.31172e-20
  16.2000000       2.35524e-20       2.35524e-20
  16.3000000       2.39876e-20       2.39876e-20
  16.4000000       2.44303e-20       2.44303e-20
  16.5000000       2.48840e-20       2.48840e-20
  16.6000000       2.53379e-20       2.53379e-20
  16.7000000       2.57949e-20       2.57949e-20
  16.8000000       2.62649e-20       2.62649e-20
  16.9000000       2.67364e-20       2.67364e-20
  17.0000000       2.72085e-20       2.72085e-20
  17.1000000       2.76938e-20       2.76938e-20
  17.2000000       2.81852e-20       2.81852e-20
  17.3000000       2.86767e-20       2.86767e-20
  17.4000000       2.91746e-20       2.91746e-20
  17.5000000       2.96869e-20       2.96869e-20
  17.6000000       3.01997e-20       3.01997e-20
  17.7000000       3.07132e-20       3.07132e-20
  17.8000000       3.12392e-20       3.12392e-20
  17.9000000       3.17699e-20       3.17699e-20
  18.0000000       3.23006e-20       3.23006e-20
  18.1000000       3.28373e-20       3.28373e-20
  18.2000000       3.33918e-20       3.33918e-20
  18.3000000       3.39476e-20       3.39476e-20
  18.4000000       3.45033e-20       3.45033e-20
  18.5000000       3.50704e-20       3.50704e-20
  18.6000000       3.56475e-20       3.56475e-20
  18.7000000       3.62245e-20       3.62245e-20
  18.8000000       3.68026e-20       3.68026e-20
  18.9000000       3.73969e-20       3.73969e-20
  19.0000000       3.79966e-20       3.79966e-20
  19.1000000       3.85963e-20       3.85963e-20
  19.2000000       3.91992e-20       3.91992e-20
  19.3000000       3.98203e-20       3.98203e-20
  19.4000000       4.04443e-20       4.04443e-20
  19.5000000       4.10683e-20       4.10683e-20
  19.6000000       4.16980e-20       4.16980e-20
  19.7000000       4.23481e-20       4.23481e-20
  19.8000000       4.30001e-20       4.30001e-20
  19.9000000       4.36521e-20       4.36521e-20
  20.0000000       4.43096e-20       4.43096e-20
  20.1000000       4.49846e-20       4.49846e-20
  20.2000000       4.56608e-20       4.56608e-20
  20.3000000       4.63371e-20       4.63371e-20
  20.4000000       4.70190e-20       4.70190e-20
  20.5000000       4.77214e-20       4.77214e-20
  20.6000000       4.84256e-20       4.84256e-20
  20.7000000       4.91299e-20       4.91299e-20
  20.8000000       4.98380e-20       4.98380e-20
  20.9000000       5.05678e-20       5.05678e-20
  21.0000000       5.13010e-20       5.13010e-20
  21.1000000       5.20341e-20       5.20341e-20
  21.2000000       5.27688e-20       5.27688e-20
  21.3000000       5.35247e-20       5.35247e-20
  21.4000000       5.42875e-20       5.42875e-20
  21.5000000       5.50503e-20       5.50503e-20
  21.6000000       5.58130e-20       5.58130e-20
  21.7000000       5.65934e-20       5.65934e-20
  21.8000000       5.73892e-20       5.73892e-20
  21.9000000       5.81849e-20       5.81849e-20
  22.0000000       5.89807e-20       5.89807e-20
  22.1000000       5.97833e-20       5.97833e-20
  22.2000000       6.06087e-20       6.06087e-20
  22.3000000       6.14359e-20       6.14359e-20
  22.4000000       6.22630e-20       6.22630e-20
  22.5000000       6.30908e-20       6.30908e-20
  22.6000000       6.39397e-20       6.39397e-20
  22.7000000       6.47988e-20       6.47988e-20
  22.8000000       6.56580e-20       6.56580e-20
  22.9000000       6.65171e-20       6.65171e-20
  23.0000000       6.73840e-20       6.73840e-20
  23.1000000       6.82775e-20       6.82775e-20
  23.2000000       6.91732e-20       6.91732e-20
  23.3000000       7.00690e-20       7.00690e-20
  23.4000000       7.09648e-20       7.09648e-20
  23.5000000       7.18793e-20       7.18793e-20
  23.6000000       7.28124e-20       7.28124e-20
  23.7000000       7.37455e-20       7.37455e-20
  23.8000000       7.46786e-20       7.46786e-20
  23.9000000       7.56129e-20       7.56129e-20
  24.0000000       7.65718e-20       7.65718e-20
  24.1000000       7.75401e-20       7.75401e-20
  24.2000000       7.85084e-20       7.85084e-20
  24.3000000       7.94768e-20       7.94768e-20
  24.4000000       8.04490e-20       8.04490e-20
  24.5000000       8.14525e-20       8.14525e-20
  24.6000000       8.24626e-20       8.24626e-20
  24.7000000       8.34727e-20       8.34727e-20
  24.8000000       8.44829e-20       8.44829e-20
  24.9000000       8.54983e-20       8.54983e-20
  25.0000000       8.65448e-20       8.65448e-20
  25.1000000       8.75965e-20       8.75965e-20
  25.2000000       8.86482e-20       8.86482e-20
  25.3000000       8.96999e-20       8.96999e-20
  25.4000000       9.07562e-20       9.07562e-20
  25.5000000       9.18436e-20       9.18436e-20
  25.6000000       9.29368e-20       9.29368e-20
  25.7000000       9.40299e-20       9.40299e-20
  25.8000000       9.51230e-20       9.51230e-20
  25.9000000       9.62194e-20       9.62194e-20
  26.0000000       9.73555e-20       9.73555e-20
  26.1000000       9.85035e-20       9.85035e-20
  26.2000000       9.96516e-20       9.96516e-20
  26.3000000       1.00800e-19       1.00800e-19
  26.4000000       1.01948e-19       1.01948e-19
  26.5000000       1.03115e-19       1.03115e-19
  26.6000000       1.04294e-19       1.04294e-19
  26.7000000       1.05474e-19       1.05474e-19
  26.8000000       1.06653e-19       1.06653e-19
  26.9000000       1.07833e-19       1.07833e-19
  27.0000000       1.09027e-19       1.09027e-19
  27.1000000       1.10255e-19       1.10255e-19
  27.2000000       1.11485e-19       1.11485e-19
  27.3000000       1.12715e-19       1.12715e-19
  27.4000000       1.13944e-19       1.13944e-19
  27.5000000       1.15176e-19       1.15176e-19
  27.6000000       1.16442e-19       1.16442e-19
  27.7000000       1.17719e-19       1.17719e-19
  27.8000000       1.18997e-19       1.18997e-19
  27.9000000       1.20274e-19       1.20274e-19
  28.0000000       1.21551e-19       1.21551e-19
  28.1000000       1.22846e-19       1.22846e-19
  28.2000000       1.24184e-19       1.24184e-19
  28.3000000       1.25524e-19       1.25524e-19
  28.4000000       1.26864e-19       1.26864e-19
  28.5000000       1.28204e-19       1.28204e-19
  28.6000000       1.29544e-19       1.29544e-19
  28.7000000       1.30919e-19       1.30919e-19
  28.8000000       1.32319e-19       1.32319e-19
  28.9000000       1.33719e-19       1.33719e-19
  29.0000000       1.35119e-19       1.35119e-19
  29.1000000       1.36519e-19       1.36519e-19
  29.2000000       1.37920e-19       1.37920e-19
  29.3000000       1.39351e-19       1.39351e-19
  29.4000000       1.40790e-19       1.40790e-19
  29.5000000       1.42230e-19       1.42230e-19
  29.6000000       1.43670e-19       1.43670e-19
  29.7000000       1.45110e-19       1.45110e-19
  29.8000000       1.46556e-19       1.46556e-19
  29.9000000       1.48054e-19       1.48054e-19
  30.0000000       1.49565e-19       1.49565e-19
  30.1000000       1.51076e-19       1.51076e-19
  30.2000000       1.52587e-19       1.52587e-19
  30.3000000       1.54098e-19       1.54098e-19
  30.4000000       1.55613e-19       1.55613e-19
  30.5000000       1.57166e-19       1.57166e-19
  30.6000000       1.58729e-19       1.58729e-19
  30.7000000       1.60291e-19       1.60291e-19
  30.8000000       1.61854e-19       1.61854e-19
  30.9000000       1.63417e-19       1.63417e-19
  31.0000000       1.64981e-19       1.64981e-19
  31.1000000       1.66590e-19       1.66590e-19
  31.2000000       1.68217e-19       1.68217e-19
  31.3000000       1.69844e-19       1.69844e-19
  31.4000000       1.71472e-19       1.71472e-19
  31.5000000       1.73099e-19       1.73099e-19
  31.6000000       1.74726e-19       1.74726e-19
  31.7000000       1.76389e-19       1.76389e-19
  31.8000000       1.78094e-19       1.78094e-19
  31.9000000       1.79798e-19       1.79798e-19
