# Zn photoionisation cross section
# Alan Heays 2020-06-26
# references: yih1998 J. Korean. Phys. Soc. 1998 32:405, marr1969 http://stacks.iop.org/0022-3700/2/i=1/a=315, huebner2015 10.1016/j.pss.2014.11.022,
# wavelength: Wavelength (nm)
# photoabsorption: Photoabsorption cross section (cm2)
# photoionisation: Photoionisation cross section (cm2)
# 
# wavelength   photoabsorption   photoionisation
   0.1000000       1.98910e-20       1.98910e-20
   0.2000000       6.97428e-20       6.97428e-20
   0.3000000       1.62775e-19       1.62775e-19
   0.4000000       2.55807e-19       2.55807e-19
   0.5000000       3.48839e-19       3.48839e-19
   0.6000000       4.41871e-19       4.41871e-19
   0.7000000       5.34904e-19       5.34904e-19
   0.8000000       6.27936e-19       6.27936e-19
   0.9000000       7.20968e-19       7.20968e-19
   1.0000000       8.04206e-19       8.04206e-19
   1.1000000       8.80244e-19       8.80244e-19
   1.2000000       5.60368e-19       5.60368e-19
   1.3000000       2.04177e-19       2.04177e-19
   1.4000000       2.49009e-19       2.49009e-19
   1.5000000       2.93841e-19       2.93841e-19
   1.6000000       3.38672e-19       3.38672e-19
   1.7000000       3.83504e-19       3.83504e-19
   1.8000000       4.28336e-19       4.28336e-19
   1.9000000       4.73168e-19       4.73168e-19
   2.0000000       5.21171e-19       5.21171e-19
   2.1000000       5.88200e-19       5.88200e-19
   2.2000000       6.58400e-19       6.58400e-19
   2.3000000       7.28600e-19       7.28600e-19
   2.4000000       7.98800e-19       7.98800e-19
   2.5000000       8.69000e-19       8.69000e-19
   2.6000000       9.39200e-19       9.39200e-19
   2.7000000       1.00940e-18       1.00940e-18
   2.8000000       1.07960e-18       1.07960e-18
   2.9000000       1.14980e-18       1.14980e-18
   3.0000000       1.22223e-18       1.22223e-18
   3.1000000       1.30800e-18       1.30800e-18
   3.2000000       1.39600e-18       1.39600e-18
   3.3000000       1.48400e-18       1.48400e-18
   3.4000000       1.57200e-18       1.57200e-18
   3.5000000       1.66000e-18       1.66000e-18
   3.6000000       1.74800e-18       1.74800e-18
   3.7000000       1.83600e-18       1.83600e-18
   3.8000000       1.92400e-18       1.92400e-18
   3.9000000       2.01200e-18       2.01200e-18
   4.0000000       2.10100e-18       2.10100e-18
   4.1000000       2.19600e-18       2.19600e-18
   4.2000000       2.29200e-18       2.29200e-18
   4.3000000       2.38800e-18       2.38800e-18
   4.4000000       2.48400e-18       2.48400e-18
   4.5000000       2.58000e-18       2.58000e-18
   4.6000000       2.67600e-18       2.67600e-18
   4.7000000       2.77200e-18       2.77200e-18
   4.8000000       2.86800e-18       2.86800e-18
   4.9000000       2.96400e-18       2.96400e-18
   5.0000000       3.05988e-18       3.05988e-18
   5.1000000       3.15500e-18       3.15500e-18
   5.2000000       3.25000e-18       3.25000e-18
   5.3000000       3.34500e-18       3.34500e-18
   5.4000000       3.44000e-18       3.44000e-18
   5.5000000       3.53500e-18       3.53500e-18
   5.6000000       3.63000e-18       3.63000e-18
   5.7000000       3.72500e-18       3.72500e-18
   5.8000000       3.82000e-18       3.82000e-18
   5.9000000       3.91500e-18       3.91500e-18
   6.0000000       4.00925e-18       4.00925e-18
   6.1000000       4.09900e-18       4.09900e-18
   6.2000000       4.18800e-18       4.18800e-18
   6.3000000       4.27700e-18       4.27700e-18
   6.4000000       4.36600e-18       4.36600e-18
   6.5000000       4.45500e-18       4.45500e-18
   6.6000000       4.54400e-18       4.54400e-18
   6.7000000       4.63300e-18       4.63300e-18
   6.8000000       4.72200e-18       4.72200e-18
   6.9000000       4.81100e-18       4.81100e-18
   7.0000000       4.89913e-18       4.89913e-18
   7.1000000       4.98200e-18       4.98200e-18
   7.2000000       5.06400e-18       5.06400e-18
   7.3000000       5.14600e-18       5.14600e-18
   7.4000000       5.22800e-18       5.22800e-18
   7.5000000       5.31000e-18       5.31000e-18
   7.6000000       5.39200e-18       5.39200e-18
   7.7000000       5.47400e-18       5.47400e-18
   7.8000000       5.55600e-18       5.55600e-18
   7.9000000       5.63800e-18       5.63800e-18
   8.0000000       5.71905e-18       5.71905e-18
   8.1000000       5.79441e-18       5.79441e-18
   8.2000000       5.86882e-18       5.86882e-18
   8.3000000       5.94323e-18       5.94323e-18
   8.4000000       6.01764e-18       6.01764e-18
   8.5000000       6.09205e-18       6.09205e-18
   8.6000000       5.90820e-18       5.90820e-18
   8.7000000       5.97571e-18       5.97571e-18
   8.8000000       6.04714e-18       6.04714e-18
   8.9000000       6.11857e-18       6.11857e-18
   9.0000000       6.18957e-18       6.18957e-18
   9.1000000       6.25800e-18       6.25800e-18
   9.2000000       6.32600e-18       6.32600e-18
   9.3000000       6.39400e-18       6.39400e-18
   9.4000000       6.46200e-18       6.46200e-18
   9.5000000       6.53000e-18       6.53000e-18
   9.6000000       6.59800e-18       6.59800e-18
   9.7000000       6.66600e-18       6.66600e-18
   9.8000000       6.73400e-18       6.73400e-18
   9.9000000       6.80200e-18       6.80200e-18
  10.0000000       6.86963e-18       6.86963e-18
  10.1000000       6.93500e-18       6.93500e-18
  10.2000000       7.00000e-18       7.00000e-18
  10.3000000       7.06500e-18       7.06500e-18
  10.4000000       7.13000e-18       7.13000e-18
  10.5000000       7.19500e-18       7.19500e-18
  10.6000000       7.26000e-18       7.26000e-18
  10.7000000       7.32500e-18       7.32500e-18
  10.8000000       7.39000e-18       7.39000e-18
  10.9000000       7.45500e-18       7.45500e-18
  11.0000000       7.52000e-18       7.52000e-18
  11.1000000       7.58500e-18       7.58500e-18
  11.2000000       7.65000e-18       7.65000e-18
  11.3000000       7.71500e-18       7.71500e-18
  11.4000000       7.78000e-18       7.78000e-18
  11.5000000       7.84500e-18       7.84500e-18
  11.6000000       7.91000e-18       7.91000e-18
  11.7000000       7.97500e-18       7.97500e-18
  11.8000000       8.04000e-18       8.04000e-18
  11.9000000       8.10500e-18       8.10500e-18
  12.0000000       8.17067e-18       8.17067e-18
  12.1000000       8.24033e-18       8.24033e-18
  12.2000000       8.31066e-18       8.31066e-18
