0          References for Cross Section of CFCl3     total   
Cross section:                                                                  
Lambda = 0.61-625.80 A                                                          
   Synthesized from cross sections of constituent atoms C + F + 3*Cl            
   Barfield, W. D., Koontz, G. D., Huebner W. F. (1972)                         
   J. Quant. Spectr. Rad. Trans. 12, 1409                                       
                                                                                
0          References for Cross Section of CFCl3     CFCl2/Cl
                                                                                
0 Branching ratio for CFCl3    total        2 branches
 Lambda  Total   CFCl2/Cl CFCl/2Cl
    0.6 1.24E-21 4.96E-22 7.44E-22
    1.1 1.03E-20 4.12E-21 6.18E-21
    2.4 6.89E-20 2.76E-20 4.13E-20
    6.2 1.08E-19 4.32E-20 6.48E-20
   12.6 7.48E-19 3.00E-19 4.48E-19
   24.6 3.25E-18 1.30E-18 1.95E-18
   62.1 1.73E-18 6.97E-19 1.03E-18
  121.7 5.85E-18 2.38E-18 3.47E-18
  248.6 1.18E-17 4.87E-18 6.93E-18
  625.8 1.23E-16 5.30E-17 7.00E-17
 1700.0 3.16E-18 1.80E-18 1.36E-18
 1720.0 3.19E-18 1.88E-18 1.31E-18
 1740.0 3.15E-18 1.91E-18 1.24E-18
 1760.0 3.11E-18 1.94E-18 1.17E-18
 1780.0 3.04E-18 1.95E-18 1.09E-18
 1800.0 3.08E-18 2.03E-18 1.05E-18
 1820.0 2.85E-18 1.93E-18 9.23E-19
 1840.0 2.60E-18 1.80E-18 8.01E-19
 1860.0 2.33E-18 1.65E-18 6.80E-19
 1880.0 2.08E-18 1.51E-18 5.74E-19
 1900.0 1.78E-18 1.32E-18 4.63E-19
 1920.0 1.49E-18 1.13E-18 3.58E-19
 1940.0 1.23E-18 9.59E-19 2.71E-19
 1960.0 9.90E-19 7.92E-19 1.98E-19
 1980.0 8.01E-19 6.57E-19 1.44E-19
 2000.0 6.47E-19 5.43E-19 1.04E-19
 2020.0 5.08E-19 4.37E-19 7.11E-20
 2040.0 3.88E-19 3.41E-19 4.66E-20
 2060.0 2.93E-19 2.64E-19 2.93E-20
 2080.0 2.12E-19 1.95E-19 1.70E-20
 2100.0 1.54E-19 1.45E-19 9.24E-21
 2120.0 1.09E-19 1.06E-19 3.27E-21
 2140.0 7.52E-20 7.52E-20 0.00E+00
 2160.0 5.28E-20 5.28E-20 0.00E+00
 2180.0 3.56E-20 3.56E-20 0.00E+00
 2200.0 2.42E-20 2.42E-20 0.00E+00
 2220.0 1.60E-20 1.60E-20 0.00E+00
 2240.0 1.10E-20 1.10E-20 0.00E+00
 2260.0 8.00E-21 8.00E-21 0.00E+00
 2280.0 5.50E-21 5.50E-21 0.00E+00
 2300.0 3.50E-21 3.50E-21 0.00E+00
 2350.0 1.26E-21 1.26E-21 0.00E+00
 2400.0 4.64E-22 4.64E-22 0.00E+00
 2450.0 1.73E-22 1.73E-22 0.00E+00
 2500.0 6.61E-23 6.61E-23 0.00E+00
 2550.0 3.37E-23 3.37E-23 0.00E+00
 2600.0 1.47E-23 1.47E-23 0.00E+00
 3860.0 1.00E-24 1.00E-24 0.00E+00
