0          References for Cross Section of ClONO2    total   
Cross section:                                                                  
Lambda = 1.00-622.50 A                                                          
   Synthesized from cross sections of ClONO + O                                 
                                                                                
0          References for Cross Section of ClONO2    ClONO/O 
                                                                                
0 Branching ratio for ClONO2   total        2 branches
 Lambda  Total   ClONO/O  Cl/NO3  
    1.0 3.77E-21 3.77E-22 3.39E-21
    5.0 6.12E-20 6.12E-21 5.51E-20
   12.0 5.47E-19 5.47E-20 4.92E-19
   26.0 1.58E-18 1.58E-19 1.42E-18
   60.0 1.50E-18 1.50E-19 1.35E-18
  120.0 6.97E-18 6.97E-19 6.27E-18
  250.0 2.29E-17 2.29E-18 2.06E-17
  622.5 8.28E-17 8.28E-18 7.45E-17
 1900.0 5.89E-18 5.89E-19 5.30E-18
 1950.0 3.81E-18 3.81E-19 3.43E-18
 2000.0 3.07E-18 3.07E-19 2.76E-18
 2050.0 2.99E-18 2.99E-19 2.69E-18
 2100.0 3.29E-18 3.29E-19 2.96E-18
 2150.0 3.60E-18 3.60E-19 3.24E-18
 2200.0 3.44E-18 3.44E-19 3.10E-18
 2250.0 2.86E-18 2.86E-19 2.57E-18
 2300.0 2.10E-18 2.10E-19 1.89E-18
 2350.0 1.49E-18 1.49E-19 1.34E-18
 2400.0 1.06E-18 1.06E-19 9.54E-19
 2450.0 7.70E-19 7.70E-20 6.93E-19
 2500.0 5.77E-19 5.77E-20 5.19E-19
 2550.0 4.47E-19 4.47E-20 4.02E-19
 2600.0 3.46E-19 3.46E-20 3.11E-19
 2650.0 2.69E-19 2.69E-20 2.42E-19
 2700.0 2.15E-19 2.15E-20 1.94E-19
 2750.0 1.61E-19 1.61E-20 1.45E-19
 2800.0 1.19E-19 1.19E-20 1.07E-19
 2850.0 8.80E-20 8.80E-21 7.92E-20
 2900.0 6.36E-20 6.36E-21 5.72E-20
 2950.0 4.56E-20 4.56E-21 4.10E-20
 3000.0 3.30E-20 3.30E-21 2.97E-20
 3050.0 2.38E-20 2.38E-21 2.14E-20
 3100.0 1.69E-20 1.69E-21 1.52E-20
 3150.0 1.23E-20 1.23E-21 1.11E-20
 3200.0 8.95E-21 8.95E-22 8.06E-21
 3250.0 6.55E-21 6.55E-22 5.89E-21
 3300.0 5.14E-21 5.14E-22 4.63E-21
 3350.0 3.97E-21 3.97E-22 3.57E-21
 3400.0 3.23E-21 3.23E-22 2.91E-21
 3450.0 2.85E-21 2.85E-22 2.56E-21
 3500.0 2.46E-21 2.46E-22 2.21E-21
 3550.0 2.18E-21 2.18E-22 1.96E-21
 3600.0 2.08E-21 2.08E-22 1.87E-21
 3650.0 1.78E-21 1.78E-22 1.60E-21
 3700.0 1.62E-21 1.62E-22 1.46E-21
 3750.0 1.39E-21 1.39E-22 1.25E-21
 3800.0 1.22E-21 1.22E-22 1.10E-21
 3850.0 1.08E-21 1.08E-22 9.72E-22
 3900.0 9.00E-22 9.00E-23 8.10E-22
 3950.0 7.70E-22 0.00E+00 7.70E-22
 4000.0 6.40E-22 0.00E+00 6.40E-22
 4050.0 5.50E-22 0.00E+00 5.50E-22
 4100.0 4.40E-22 0.00E+00 4.40E-22
 4150.0 3.50E-22 0.00E+00 3.50E-22
 4200.0 2.70E-22 0.00E+00 2.70E-22
 4250.0 2.00E-22 0.00E+00 2.00E-22
 4300.0 1.60E-22 0.00E+00 1.60E-22
 4350.0 1.30E-22 0.00E+00 1.30E-22
 4400.0 9.00E-23 0.00E+00 9.00E-23
 4450.0 7.00E-23 0.00E+00 7.00E-23
 4500.0 5.00E-23 0.00E+00 5.00E-23
 7210.0 1.00E-24 0.00E+00 1.00E-24
